gene	tf	hoco_tf	gc_percentage	ROI_ov90	basal_transcription_ov90	padj_ov90	log2FoldChange_ov90	ROI_hct116	basal_transcription_hct116	padj_hct116	log2FoldChange_hct116	basal_expression_30minRNA	padj_30minRNA	log2FoldChange_30minRNA	basal_expression_4hrRNA	padj_4hr40nmRNA	log2FoldChange_4hr40nmRNA	padj_4hr400nmRNA	log2FoldChange_4hr400nmRNA	corrected_e-score_ov90	corrected_padj_ov90	corrected_e-score_hct116	corrected_padj_hct116	corrected_log2FoldChange_ov90_30minProt	corrected_pval_ov90_30minProt	log2FoldChange_ov90_30minProt	padj_ov90_30minProt	pval_ov90_30minProt	corrected_log2FoldChange_ov90_120minProt	corrected_pval_ov90_120minProt	log2FoldChange_ov90_120minProt	padj_ov90_120minProt	pval_ov90_120minProt	corrected_log2FoldChange_hct116_30minProt	corrected_pval_hct116_30minProt	log2FoldChange_hct116_30minProt	padj_hct116_30minProt	pval_hct116_30minProt	corrected_log2FoldChange_hct116_120minProt	corrected_pval_hct116_120minProt	log2FoldChange_hct116_120minProt	padj_hct116_120minProt	pval_hct116_120minProt	sameIso?	md_score_exp_ov90	md_score_exp_hct116
ETS2	ETS2_HUMAN.H11MO.0.B	ETS2	0.4967692307692308	ETS2:NM_005239.6	2316.7779712207307	0.114871483077789	-0.8610049802669559	ETS2:NM_005239.6	2251.833333333333	0.130533269605006	-1.33517466410454	7001.916338980373	0.9998793116997858	-0.0710558213629966	2909.560541546529	3.2977183518036297e-07	-0.258177919612647	1.7511286098801298e-17	-0.412247584151783	-0.0040476771912942855	1.0	-0.006424025769149688	1.0			0.0	1.0				0.0	1.0				0.0	1.0				0.0	1.0		1	0.10372540812055253	0.11108110270875846
TFDP1	TFDP1_HUMAN.H11MO.0.C	TFDP1	0.6498571428571428	TFDP1:NM_007111.5	11468.798065498198	0.346008942225526	-0.648888658597609	TFDP1:NM_007111.5	10490.833333333334	0.164929806609609	-1.19350505549883	24019.811374179902	0.9998793116997858	0.037550768527579	11813.142920619532	0.223691173869092	0.0479940846759171	0.147225314936659	0.0531335532899679	-0.10698906267579876	1e-05	-0.08240401206661474	0.1	-0.065304246	0.287247734	-0.064373347		0.254366089	0.076858097	0.327602855	0.073708566		0.313552359	0.03580322	0.640825716	0.0333288		0.623901829	-0.08649756900000001	0.22027957	-0.088051164		0.183067452	1	0.2053880803880804	0.2657756853215886
ELF1	ELF1_HUMAN.H11MO.0.A	ELF1	0.5807142857142856	ELF1:NM_001370330.1	4897.941697955575	0.397444018991855	-0.652994099636752	ELF1:NM_001370329.1	7678.166666666668	0.508297749571187	-0.528114752428584	6255.242202547103	0.9998793116997858	0.0196933136273507	3184.249581509563	0.263139524059311	0.0704495937199137	0.672024067611959	0.0295699683458408	-0.048624603701597435	1.0	0.03549569191704843	1.0	-0.107843962	0.110687657	-0.110718361		0.076083076	-0.033534649	0.7110367129999999	-0.032868194		0.694646422	0.034754996	0.605386681	0.030664088		0.615277153	-0.074942244	0.320408015	-0.077653919		0.272459735	0	0.2571536144578313	0.2179593928136809
THAP11	THA11_HUMAN.H11MO.0.B	THA11	0.5220057720057719	THAP11:NM_020457.3	121.232386652344	0.266901311497159	-1.18545079273588	THAP11:NM_020457.3	141.5	0.434655118657124	-0.7268048453948609	1741.27067235133	0.9998793116997858	-0.0778623862547327	685.081661427875	0.00738950835201252	-0.246962560982185	0.006190313449238189	-0.243337871153854	-0.11347412112477848	1e-10	-0.04154982553473013	0.6759999999999999	0.113707114	0.205428933	0.118855227		0.166848529	-0.13171821	0.094560134	-0.130735758		0.070628484	-0.009700401	0.911470862	-0.013945662		0.865408113	-0.025308595	0.76865658	-0.033041624		0.6839165290000001	1	0.20929937919675665	0.17827309236947791
E2F1	E2F1_HUMAN.H11MO.0.A	E2F1	0.6738571428571428	E2F1:NM_005225.3	2200.7181864375048	0.0109770851224003	-1.51994315111742	E2F1:NM_005225.3	2718.833333333333	0.0492148572842812	-1.71006581985413	5785.6761867696605	0.9998793116997858	-0.00454119963358387	1403.9746161779633	0.000107484277318827	-0.292583008504739	3.2314514437777e-06	-0.33779372791493	-0.11303655098070235	1e-08	-0.10173362247664304	0.001			0.0	1.0				0.0	1.0				0.0	1.0				0.0	1.0		1	0.20564625236763776	0.28475033738191635
KLF3	KLF3_HUMAN.H11MO.0.B	KLF3	0.740435425914183	KLF3:NM_016531.6	4542.368389764964	0.41808558242232	-0.611424707015817	KLF3:NM_016531.6	4259.0	0.251191189147024	-0.9533379546526692	13849.395652722531	0.9998793116997858	-0.10649719540281402	7006.2687444698095	3.05085112868193e-05	0.259522475253057	0.000422830142107686	0.21748871648104295	-0.07246871331459917	1e-26	-0.0692009512588635	1e-17	0.133704768	0.174173005	0.13444043		0.14519708	-0.241687799	0.033642949	-0.240179087		0.021630633	0.132201707	0.078716439	0.128028273		0.05779446200000001	-0.142140966	0.027201732000000003	-0.139419017		0.019213232	1	0.2462197930249979	0.2940894195495558
KLF9	KLF9_HUMAN.H11MO.0.C	KLF9	0.7802083333333333	KLF9:NM_001206.4	2178.4882885120096	0.399343559767841	-0.543927886076591	KLF9:NM_001206.4	338.8333333333333	0.442059097791277	-0.6833320529934339	2830.34718031008	0.9998793116997858	-0.0731172303932989	878.6399191747377	3.7076871346485297e-07	0.35149260085704104	5.4914132712795e-09	0.38913453488002	-0.0940946836764811	1e-17	-0.09746727082267552	1e-13			0.0	1.0				0.0	1.0				0.0	1.0				0.0	1.0		1	0.27990024216575704	0.3238129361382676
TFEB	TFEB_HUMAN.H11MO.0.C	TFEB	0.5757477776311346	TFEB:NM_001167827.3	936.992186192585	0.276507726133729	-0.7359868570916441	TFEB:NM_001271945.2	655.5	0.372240770217194	-0.727094436993379	377.9458396776743	0.9998793116997858	-0.0488515834007908	110.12097050925202	0.00243469281769472	-0.6396499923474119	0.0332139495196993	-0.4439877249684461	0.0	1.0	0.0	1.0	-0.026768179	0.7440210759999999	-0.02665009		0.7220267770000001	-0.109885557	0.17589001899999998	-0.111341382		0.138091133			0.0	1.0				0.0	1.0		0	0.2796833773087071	0.2456175700181342
ATF3	ATF3_HUMAN.H11MO.0.A	ATF3	0.5574545454545453	ATF3:NM_001674.4	41.38612158724705	0.303906980290254	0.8809527581813499	ATF3:NM_001206488.3	758.0	0.496536903103509	-0.563237836486181	270.50037919159337	0.9998793116997858	-0.31139909531033805	68.12354570975033	0.319868828964134	0.292121885985866	0.7401718018301559	0.108626305346831	-0.12316773933351488	1.0	-0.05218528811224177	1.0	0.040296659	0.850437978	0.042398048		0.8349264829999999	-0.45979835	0.004949303	-0.456534915		0.003007591	0.012573292	0.914004781	0.009444531		0.929780147	-0.172078222	0.173109508	-0.180320508		0.140955638	0	0.2809364548494983	0.2215473145780051
ZNF143	ZN143_HUMAN.H11MO.0.A	ZN143	0.5233636363636364	ZNF143:NM_003442.6	1424.73560752546	0.22601404163297695	-0.77470831860368	ZNF143:NM_003442.6	3177.166666666666	0.407182938748331	-0.655886219459489	1194.5782799062	0.9998793116997858	0.00605568419673658	621.3782102554877	1.03386643452945e-05	-0.37594908566318697	1.9057850994445896e-09	-0.491811045066953	-0.14923585103109707	1e-17	-0.04235366812651365	0.409	0.010683867	0.934698542	0.009273777		0.93929955	0.027355663	0.825663629	0.026922496		0.812691563	0.068570715	0.33502086600000003	0.068527443		0.301567753	0.017193095	0.7224150709999999	0.018394172		0.6811238740000001	1	0.20398607275783406	0.17501985989745072
YY1	TYY1_HUMAN.H11MO.0.A	TYY1	0.5710080941869021	YY1:NM_003403.5	2022.0146216267801	0.484502166153159	-0.42726077586899	YY1:NM_003403.5	4466.666666666667	0.513786774727767	-0.520660192476407	13253.26600243477	0.9998793116997858	-0.0196241297721195	6032.107698179239	0.013323534893141	0.117964433863108	1.48908636260985e-07	0.226272751049688	-0.003625416697362993	1.0	0.12877963358447525	1e-05	0.03611406	0.8325429109999999	0.030422163		0.846281947	-0.06923161900000001	0.709544365	-0.067901333		0.695657822	0.083259927	0.280710296	0.085271236		0.231810687	-0.025870291	0.635018467	-0.021974108		0.659639226	1	0.2417661961635903	0.2191713826591211
ETV5	ETV5_HUMAN.H11MO.0.C	ETV5	0.5174285714285715	ETV5:NM_004454.3	2993.264100186485	0.35920680489628204	-0.582770227182682	ETV5:NM_004454.3	3848.666666666666	0.28312272381421005	-0.8825813164422549	6114.241095907936	0.9998793116997858	0.10261551899431698	3924.1626004278473	0.679599567976472	-0.0251295339311515	0.495426030205427	-0.0360778359921628	-0.008481581694692875	1.0	-0.004769925705634448	1.0			0.0	1.0				0.0	1.0				0.0	1.0				0.0	1.0		1	0.11648290815149698	0.12266158103028232
SP1	SP1_HUMAN.H11MO.0.A	SP1	0.8458735653124432	SP1:NM_138473.3	1786.714617937525	0.18497184496414495	-0.830039051866861	SP1:NM_001251825.2	3604.0	0.164354646982852	-1.20113219131595	9097.160375390871	0.9998793116997858	-0.0429716795640469	4120.54467509593	0.00016046990862881298	-0.173100611294664	6.63539546438108e-07	-0.21753114230369106	-0.0451900489144072	1e-13	-0.009424056704242513	1.0	0.17355673800000002	0.07016512700000001	0.174588322		0.054332455	-0.183465673	0.122035191	-0.17908303		0.099390891	0.068434102	0.317196445	0.065768051		0.2839323	-0.032339897	0.517409707	-0.031879395		0.483626915	0	0.24418432489396355	0.3151485839264849
E2F4	E2F4_HUMAN.H11MO.0.A	E2F4	0.709846153846154	E2F4:NM_001950.4	786.3975223409103	0.7274729802810842	-0.303691047452841	E2F4:NM_001950.4	1734.0	0.4001568311891621	-0.674414725322255	8119.44792029366	0.9998793116997858	-0.032347001803812	2442.572907643293	1.2139718518801696e-07	-0.309887573687447	5.28873269539515e-13	-0.407609084429896	-0.09906748450533986	1e-07	-0.06885840437834778	0.01	0.023363834	0.793172103	0.024633424		0.766987537	0.062539905	0.488436195	0.059309893		0.472928836	0.002211998	0.975378148	0.005943548000000001		0.927516524	0.095623183	0.091019728	0.093026134		0.074344388	1	0.2319120733458522	0.31966914341791675
THRB	THB_HUMAN.H11MO.0.C	THB	0.5660043281526657	THRB:NM_001354711.2	953.6452074274916	0.832932010963412	-0.173079394602706	THRB:NM_001354708.2	978.5	0.8901429606186999	0.12626844926195502	361.0668294037073	0.9998793116997858	-0.240810880029249	254.55300762625095	0.0014232108090622801	0.39320698462189896	0.00031114179472077	0.424805889932812	0.0886035200377768	1e-17	0.07969175167246613	1e-09			0.0	1.0				0.0	1.0				0.0	1.0				0.0	1.0		0	0.08075991522858007	0.06869235773602235
CREB1	CREB1_HUMAN.H11MO.0.A	CREB1	0.4894545454545454	CREB1:NM_001320793.2	1669.22742764491	0.49391673574369	-0.483527974926555	CREB1:NM_001320793.2	2566.5	0.3775584942690151	-0.711795888193032	890.6509038249878	0.9998793116997858	-0.10216173765723198	363.51442222345696	0.243893102086794	-0.155038589922192	0.160301061230312	-0.172667550048084	-0.19644065302287925	0.01	-0.11309276918572606	0.868	0.166054259	0.147799284	0.160775939		0.12837747900000002	-0.224329988	0.122068393	-0.21954391		0.097262031	-0.021091379	0.8443675540000001	-0.024701153		0.804419067	-0.045965959	0.634352504	-0.052882632		0.566276082	1	0.28792134831460675	0.24931431705979154
USF1	USF1_HUMAN.H11MO.0.A	USF1	0.6211805555555557	USF1:NM_007122.5	230.20285111072948	0.943750495790182	-0.0641901469773834	USF1:NM_007122.5	371.0	0.23476926603234305	-1.05145824598335	3167.3465391262566	0.9998793116997858	-0.205313744453894	892.284077822214	0.223947995284897	-0.0986662632249204	0.000753325536212777	-0.229145358241621	-0.11268719841610665	0.1	-0.04335186813680697	1.0	0.172331578	0.238371923	0.16908971399999995		0.208224232	-0.177922639	0.219036693	-0.176574304		0.187628168	0.12484179	0.25513172	0.118237935		0.230446426	-0.106257593	0.316905593	-0.110807992		0.273627384	1	0.267373811265545	0.21838544097060195
RFX2	RFX2_HUMAN.H11MO.0.A	RFX2	0.5778828473863935	RFX2:NM_000635.4	1164.15838320801	0.8259241098759159	0.17341549374504406	RFX2:NM_000635.4	2861.666666666666	0.9930790424710358	0.00946429965357994	428.5455406821337	0.9998793116997858	-0.0524004767428818	138.3318768216223	0.454304734217543	0.162493533358685	0.4941084424588089	0.14260184415939495	-0.03507977165677112	1.0	-0.07954148399140992	0.1			0.0	1.0				0.0	1.0		0.00040142	0.996088557	-0.008110626999999999		0.915019782	-0.085636578	0.234007785	-0.089467252		0.19163172	1	0.17975957506290188	0.16885361829182055
ZNF76	ZNF76_HUMAN.H11MO.0.C	ZNF76	0.5616100766703176	ZNF76:NM_003427.5	770.9405812899071	0.8493893206746501	-0.14432727145403798	ZNF76:NM_001292032.2	2887.666666666666	0.350951278444729	-0.746655982569322	1142.9069951350634	0.9998793116997858	0.0940409536001521	340.1447909753013	0.0630723158166	-0.249411647410468	1.37810054391362e-05	-0.519693475114274	-0.10643798063651316	1e-10	-0.017216743271105728	1.0			0.0	1.0				0.0	1.0				0.0	1.0				0.0	1.0		0	0.19165876777251184	0.17320324842706286
ZNF281	ZN281_HUMAN.H11MO.0.A	ZN281	0.7522821576763487	ZNF281:NM_001281293.2	348.01815323422005	0.30530535185464097	-0.851519809670882	ZNF281:NM_012482.5	594.6666666666666	0.5809137482627249	-0.457713146317152	3397.295787619267	0.9998793116997858	-0.191708945632522	2113.1662751270665	1.2741123622808998e-10	0.41729856768918	8.44871785756601e-12	0.43345890527417297	0.02390585177629784	0.01	0.03784426507307609	0.0001	0.109253982	0.34241693100000004	0.109598975		0.311215842	-0.140534278	0.228111839	-0.13933446800000002		0.190844672	0.005265226	0.945095683	0.001122455		0.98714395	-0.08806523	0.196031621	-0.090564501		0.159757903	0	0.16836948464240822	0.18822012957407167
RFX1	RFX1_HUMAN.H11MO.0.B	RFX1	0.6693642666570492	RFX1:NM_002918.5	1652.62458391269	0.25634893528662	-0.837241891244501	RFX1:NM_002918.5	1378.0	0.19931228699636	-1.1086868505496	1617.46131951857	0.9998793116997858	-0.123195929160169	423.50560937925104	1.72200859630759e-06	-0.5842186448660219	6.21416887412643e-08	-0.6402155954225239	-0.0596538248514753	0.1	-0.06796248878200345	0.1	0.0466774	0.699639476	0.045091729		0.687417788	-0.255287109	0.029909712	-0.252095662		0.020634396	0.059089808	0.432950484	0.056298856		0.408618021	-0.144307481	0.033952895	-0.141340248		0.025037557	1	0.21536931111663765	0.2652247582976179
NFYC	NFYC_HUMAN.H11MO.0.A	NFYC	0.501173708920188	NFYC:NM_001142590.2	2847.9744174777647	0.438299175241812	-0.513921338356483	NFYC:NM_001142589.2	5901.333333333332	0.194668025419362	-1.10660041478477	4098.4039888453635	0.9998793116997858	0.0405767958248536	1823.10946369037	0.000276293403997815	-0.203065487801462	1.07982486044654e-06	-0.259062353123163	-0.11989814512995547	1e-06	-0.09099940557446062	0.01	0.041157108	0.657572346	0.039559902		0.654767628	-0.091974643	0.406550871	-0.08812608		0.393627008	0.096443603	0.133365576	0.096504974		0.103756261	-0.014956755	0.78191162	-0.01153873		0.816242158	0	0.2914678373735446	0.2322864936700007
