tf	small_hits_exp	large_hits_exp	md_score_exp	small_hits_sim	large_hits_sim	md_score_sim	elliptic_outlier	pval	significance
ELF1_HUMAN.H11MO.0.A	1366	5312	0.2571536144578313	4521	35837	0.12615453302452773	-1	8.9098270185009e-19	Enriched
KAISO_HUMAN.H11MO.0.A	614	1878	0.3269435569755059	1580	9219	0.1713851827747044	-1	6.616102722231915e-18	Enriched
USF2_HUMAN.H11MO.0.A	1113	3936	0.28277439024390244	1957	13548	0.14444936521995866	-1	9.465050346056447e-18	Enriched
KLF12_HUMAN.H11MO.0.C	9700	32475	0.29869130100076985	5330	33206	0.16051316027223994	-1	2.7520160908613087e-15	Enriched
KLF4_HUMAN.H11MO.0.A	3016	12076	0.24975157336866516	5594	42033	0.13308590869079054	-1	3.1298915479378904e-14	Enriched
KLF9_HUMAN.H11MO.0.C	7744	27667	0.27990024216575704	5454	35286	0.1545655500765176	-1	3.2394748389264764e-13	Enriched
THA11_HUMAN.H11MO.0.B	1652	7893	0.20929937919675665	5992	53920	0.11112759643916914	-1	3.862934754899973e-13	Enriched
ZN143_HUMAN.H11MO.0.A	1699	8329	0.20398607275783406	6045	54900	0.11010928961748634	-1	2.31994996419615e-12	Enriched
ZFP42_HUMAN.H11MO.0.A	878	4651	0.18877660718125133	5807	56209	0.10331085769182873	-1	1.689209443122604e-11	Enriched
PAX5_HUMAN.H11MO.0.A	3324	52069	0.06383836831896138	4629	31973	0.14477840678072126	-1	5.6110959915336454e-11	Depleted
ATF2_HUMAN.H11MO.0.B	609	3255	0.1870967741935484	3510	32262	0.10879672679933047	-1	1.7073360415509425e-09	Enriched
KLF1_HUMAN.H11MO.0.A	11119	44566	0.2494951308172149	6274	42109	0.14899427675793772	-1	4.945000011971696e-09	Enriched
ATF6A_HUMAN.H11MO.0.B	318	1489	0.21356615177971794	1647	12753	0.12914608327452365	-1	2.2290797102943113e-08	Enriched
ETS1_HUMAN.H11MO.0.A	1792	9228	0.19419159081057646	5989	49943	0.11991670504374988	-1	1.179137298957098e-07	Enriched
ZNF76_HUMAN.H11MO.0.C	2022	10550	0.19165876777251184	6584	54983	0.11974610334103268	-1	2.653269438534409e-07	Enriched
RFX2_HUMAN.H11MO.0.A	643	3577	0.17975957506290188	4572	40289	0.1134801062324704	-1	4.925373124619626e-07	Enriched
ZN121_HUMAN.H11MO.0.C	3891	67617	0.057544700297262524	6187	49241	0.1256473264149794	-1	9.177581155423315e-07	Depleted
E2F5_HUMAN.H11MO.0.B	116	521	0.22264875239923226	1900	13123	0.14478396708069802	-1	6.278226803789645e-06	Enriched
FEV_HUMAN.H11MO.0.B	942	4421	0.213073965166252	4126	29692	0.13895998922268624	-1	6.5914049801079365e-06	Enriched
ZN770_HUMAN.H11MO.0.C	12282	131075	0.09370207896242608	8395	58308	0.14397681278726762	-1	7.559571214930035e-06	Depleted
SP2_HUMAN.H11MO.0.A	42985	184909	0.23246569934400166	6802	29630	0.2295646304421195	-1	8.425566528194768e-06	Enriched
KLF5_HUMAN.H11MO.0.A	7095	35394	0.20045770469571114	7155	54090	0.13227953410981694	-1	1.1500404309489893e-05	Enriched
FOXC1_HUMAN.H11MO.0.C	730	5818	0.1254726710209694	4221	49128	0.08591841719589642	-1	1.1536112093696209e-05	Enriched
EHF_HUMAN.H11MO.0.B	919	5677	0.16188127532147262	5797	53064	0.10924543946932007	-1	1.7120474703699078e-05	Enriched
E2F7_HUMAN.H11MO.0.B	3591	17280	0.2078125	5046	36564	0.13800459468329504	-1	2.0312592130554493e-05	Enriched
HNF1B_HUMAN.H11MO.0.A	527	4866	0.10830250719276613	3771	47867	0.07878078843462093	-1	5.9165138248164246e-05	Enriched
E2F4_HUMAN.H11MO.0.A	4199	18106	0.2319120733458522	4398	28298	0.15541734398190685	-1	6.477171413886373e-05	Enriched
TFDP1_HUMAN.H11MO.0.C	2371	11544	0.2053880803880804	4707	33774	0.13936756084562088	-1	7.57476398980626e-05	Enriched
NFE2_HUMAN.H11MO.0.A	601	3565	0.16858345021037868	5342	45692	0.11691324520703845	-1	8.663205887571217e-05	Enriched
ZN250_HUMAN.H11MO.0.C	447	3448	0.12964037122969838	4349	46813	0.092901544442783	-1	8.929847030059976e-05	Enriched
RFX3_HUMAN.H11MO.0.B	381	2747	0.13869676010192938	4085	41370	0.09874305051970028	-1	9.925062472973513e-05	Enriched
JUN_HUMAN.H11MO.0.A	464	3016	0.15384615384615385	4470	41173	0.1085662934447332	-1	0.00012092656470933034	Enriched
TAL1_HUMAN.H11MO.0.A	427	2823	0.15125752745306412	4783	44515	0.10744692800179714	-1	0.00014860874725847482	Enriched
HNF1A_HUMAN.H11MO.0.C	614	6024	0.10192563081009297	4044	51648	0.0782992565055762	-1	0.00026195256673823683	Enriched
FOSL1_HUMAN.H11MO.0.A	628	3972	0.1581067472306143	4760	42090	0.11309099548586365	-1	0.00026757176056461636	Enriched
SP4_HUMAN.H11MO.0.A	17264	76010	0.22712800947243786	7296	46806	0.15587745160876812	-1	0.0002795050473728791	Enriched
TAF1_HUMAN.H11MO.0.A	7385	37519	0.19683360430715105	5500	40012	0.13745876237128862	-1	0.0003175475720977809	Enriched
FOXP1_HUMAN.H11MO.0.A	641	5706	0.1123378899404136	3952	46238	0.08547082486266706	-1	0.000352701664503521	Enriched
VDR_HUMAN.H11MO.0.A	857	5232	0.16379969418960244	6206	52868	0.11738669894832413	-1	0.0003662750641213071	Enriched
PO3F1_HUMAN.H11MO.0.C	418	3628	0.11521499448732085	4935	56102	0.08796477843927132	-1	0.0004686180246715178	Enriched
NF2L2_HUMAN.H11MO.0.A	534	3559	0.15004214667041305	5503	49901	0.1102783511352478	-1	0.0006342418392211798	Enriched
BACH2_HUMAN.H11MO.0.A	623	3938	0.15820213306246825	5598	48535	0.11533944576079118	-1	0.0006379884192805105	Enriched
ZBT14_HUMAN.H11MO.0.C	1197	4846	0.2470078415187784	1671	7309	0.22862224654535504	-1	0.0006669241933937376	Enriched
JUND_HUMAN.H11MO.0.A	540	3580	0.15083798882681565	4485	40314	0.11125167435630302	-1	0.0007621777323749698	Enriched
THB_HUMAN.H11MO.0.C	1067	13212	0.08075991522858007	5858	46775	0.125237840726884	-1	0.0008325318824746062	Depleted
KLF3_HUMAN.H11MO.0.B	17749	72086	0.2462197930249979	6531	38254	0.17072724420975585	-1	0.0009184636641487283	Enriched
HNF4G_HUMAN.H11MO.0.B	753	5153	0.14612846885309527	7042	64667	0.10889634589512426	-1	0.0009396694294343209	Enriched
GATA1_HUMAN.H11MO.0.A	452	3388	0.1334120425029516	4924	48697	0.10111505842249008	-1	0.0009687989102564422	Enriched
RFX1_HUMAN.H11MO.0.B	1732	8042	0.21536931111663765	4888	32170	0.15194280385452286	-1	0.0010238591240670275	Enriched
FOXA1_HUMAN.H11MO.0.A	669	5669	0.11801023108131944	4728	51445	0.0919039751190592	-1	0.001087675958184366	Enriched
RXRB_HUMAN.H11MO.0.C	1121	15448	0.07256602796478509	5621	47069	0.11942042533302173	-1	0.0011009056908931848	Depleted
E2F3_HUMAN.H11MO.0.A	904	5737	0.15757364476207078	5417	46399	0.116748205780297	-1	0.0012500499018565602	Enriched
SMAD3_HUMAN.H11MO.0.B	1370	14266	0.0960325248843404	7799	58455	0.13341886921563595	-1	0.0013272774041259462	Depleted
THA_HUMAN.H11MO.0.C	1376	19423	0.07084384492611852	6330	53826	0.11760115929104893	-1	0.0014484584340168501	Depleted
HNF4A_HUMAN.H11MO.0.A	685	4855	0.141091658084449	6980	64889	0.10756830895837508	-1	0.0017963844534228683	Enriched
FOSL2_HUMAN.H11MO.0.A	528	3628	0.14553472987872107	4687	42262	0.11090341204864892	-1	0.0022058030875355826	Enriched
GATA6_HUMAN.H11MO.0.A	524	4417	0.1186325560335069	4865	51237	0.09495091437828132	-1	0.0027862718987618595	Enriched
JUNB_HUMAN.H11MO.0.A	545	3509	0.15531490453120547	4978	42261	0.11779181751496652	-1	0.002939046008854329	Enriched
BMAL1_HUMAN.H11MO.0.A	465	2732	0.17020497803806736	1847	14539	0.12703762294518192	-1	0.0029773005642483243	Enriched
ZKSC1_HUMAN.H11MO.0.B	353	5443	0.06485394084144773	4390	39403	0.11141283658604677	1	0.00341741705068783	Depleted
KLF6_HUMAN.H11MO.0.A	17974	85868	0.2093212838309964	7669	50528	0.1517772324255858	-1	0.003578128565868105	Enriched
E2F1_HUMAN.H11MO.0.A	2280	11087	0.20564625236763776	4338	28993	0.14962232262960026	-1	0.0037194139690624292	Enriched
HINFP_HUMAN.H11MO.0.C	86	444	0.19369369369369369	1033	7250	0.14248275862068965	-1	0.004038406199501077	Enriched
HXA9_HUMAN.H11MO.0.B	332	3523	0.09423786545557764	3919	48149	0.08139317535151301	-1	0.004610780238861928	Enriched
MBD2_HUMAN.H11MO.0.B	1433	6345	0.2258471237194641	3207	15270	0.2100196463654224	-1	0.00465081674648656	Enriched
MEIS1_HUMAN.H11MO.0.A	295	2843	0.1037636299683433	4325	49311	0.08770862485043905	-1	0.005280533672784405	Enriched
CTCF_HUMAN.H11MO.0.A	1567	7864	0.1992624618514751	5998	40836	0.14688020374179644	-1	0.005483419483969224	Enriched
STAT3_HUMAN.H11MO.0.A	655	5016	0.13058213716108452	6438	61518	0.1046522968887155	1	0.005914461269563014	Enriched
FOSB_HUMAN.H11MO.0.A	264	2063	0.12796897721764422	3464	33602	0.10308910183917623	1	0.006012576008547837	Enriched
CTCFL_HUMAN.H11MO.0.A	2373	10924	0.2172281215671915	5915	37324	0.15847711927981994	-1	0.006386719255771542	Enriched
ZN768_HUMAN.H11MO.0.C	1305	14389	0.09069428035304747	7684	61319	0.12531189354033825	1	0.0066485220722314374	Depleted
E2F2_HUMAN.H11MO.0.B	190	855	0.2222222222222222	1849	11415	0.16197985107314936	-1	0.007255627240774878	Enriched
GATA2_HUMAN.H11MO.0.A	478	3826	0.12493465760585468	5200	50997	0.10196678235974664	1	0.007583881394763181	Enriched
ZN317_HUMAN.H11MO.0.C	230	3795	0.060606060606060615	6001	56524	0.10616729176986768	1	0.007839652862717724	Depleted
ETV2_HUMAN.H11MO.0.B	1434	9940	0.1442655935613682	6739	58844	0.11452314594521107	1	0.009090128433220409	Enriched
INSM1_HUMAN.H11MO.0.C	953	6279	0.15177576047141264	7327	61452	0.11923126993425764	1	0.009264901674001135	Enriched
BACH1_HUMAN.H11MO.0.A	713	4373	0.16304596386919734	5468	43130	0.1267795038256434	1	0.01098028158787839	Enriched
ELF3_HUMAN.H11MO.0.A	901	7217	0.12484411805459332	6201	59808	0.10368178170144464	1	0.012765976142743989	Enriched
TF65_HUMAN.H11MO.0.A	526	4109	0.12801168167437332	6961	65859	0.10569550099454897	1	0.012967126944349709	Enriched
ELF5_HUMAN.H11MO.0.A	1784	12086	0.14760880357438358	6645	56352	0.11791950596252128	1	0.013362295578629193	Enriched
ZN322_HUMAN.H11MO.0.B	910	8201	0.1109620777953908	6029	44535	0.13537667003480408	1	0.013767574172523757	Depleted
ZFP28_HUMAN.H11MO.0.C	2822	57877	0.04875857421773762	7017	72831	0.09634633603822547	1	0.016118915221765045	Depleted
HXA1_HUMAN.H11MO.0.C	186	3413	0.0544975095224143	4977	49843	0.09985354011596413	1	0.016303978299911984	Depleted
ZFX_HUMAN.H11MO.0.A	1604	8348	0.19214183037853375	5618	38310	0.14664578439049855	-1	0.018555726637493962	Enriched
ARNT_HUMAN.H11MO.0.B	57	432	0.13194444444444445	592	5386	0.10991459339027107	1	0.021162369175257947	Enriched
EPAS1_HUMAN.H11MO.0.B	57	432	0.13194444444444445	592	5386	0.10991459339027107	1	0.021162369175257947	Enriched
ZNF8_HUMAN.H11MO.0.C	148	3017	0.04905535299966855	3673	38454	0.09551672127737036	1	0.021186229181174878	Depleted
ZN449_HUMAN.H11MO.0.C	910	6368	0.14290201005025124	7294	62448	0.11680117858057905	1	0.02179067001157118	Enriched
FOXA2_HUMAN.H11MO.0.A	500	4710	0.10615711252653927	4780	50471	0.09470785203384123	1	0.025653438517575424	Enriched
NOBOX_HUMAN.H11MO.0.C	111	1195	0.09288702928870292	3861	44555	0.08665694085961173	1	0.02668840626830518	Enriched
CEBPE_HUMAN.H11MO.0.A	94	933	0.1007502679528403	3360	36659	0.09165552797403094	1	0.027628854365472254	Enriched
ETV4_HUMAN.H11MO.0.B	1077	8011	0.13444014480089878	6696	59177	0.11315206921608058	1	0.03261519151316717	Enriched
ERG_HUMAN.H11MO.0.A	2107	14241	0.14795309318165858	7151	58764	0.12169015043223742	1	0.03410648837361975	Enriched
IRF3_HUMAN.H11MO.0.B	8327	137625	0.060504995458673924	7535	75014	0.10044791638894073	1	0.03647548862899664	Depleted
ZN281_HUMAN.H11MO.0.A	10448	62054	0.16836948464240822	8602	63850	0.13472200469851214	1	0.03764168131331721	Enriched
EGR2_HUMAN.H11MO.0.A	12546	73007	0.17184653526374186	7312	53386	0.13696474731202934	1	0.038486696396859726	Enriched
NKX31_HUMAN.H11MO.0.C	214	4020	0.053233830845771136	5661	59214	0.09560239132637552	1	0.03965939978493508	Depleted
NFKB2_HUMAN.H11MO.0.B	695	5218	0.13319279417401306	7231	63781	0.113372320910616	1	0.04141945246926169	Enriched
PBX3_HUMAN.H11MO.0.A	468	3356	0.1394517282479142	5373	45732	0.11748884807137235	1	0.04388161265084405	Enriched
ZN394_HUMAN.H11MO.0.C	1897	37180	0.05102205486820872	6854	73136	0.09371581710785386	1	0.04480207323479826	Depleted
RARA_HUMAN.H11MO.0.A	2161	23898	0.0904259770692108	7472	63380	0.11789207952035342	1	0.04680775545123394	Depleted
HSF1_HUMAN.H11MO.0.A	633	5507	0.11494461594334485	5929	57729	0.10270401358069603	1	0.047793364110079235	Enriched
STAT1_HUMAN.H11MO.0.A	623	5315	0.11721542803386642	6519	62440	0.10440422805893658	1	0.05112687179247298	Not Significant
ZFP82_HUMAN.H11MO.0.C	1597	30362	0.052598643040642906	6974	74126	0.09408304778350376	1	0.05149267044413967	Not Significant
FOXA3_HUMAN.H11MO.0.B	448	4621	0.09694871239991344	4962	53981	0.0919212315444323	1	0.05169661533531613	Not Significant
BHE40_HUMAN.H11MO.0.A	224	1893	0.11833069202324352	1620	12028	0.13468573328899236	1	0.051996122128036136	Not Significant
KLF15_HUMAN.H11MO.0.A	23317	127037	0.18354495147083133	8415	57765	0.14567644767592833	-1	0.05416800347432455	Not Significant
FOS_HUMAN.H11MO.0.A	395	2931	0.13476629136813376	3273	28230	0.1159404888416578	1	0.05953114655263099	Not Significant
TBX3_HUMAN.H11MO.0.C	950	11128	0.08537023723939613	6495	57169	0.11361052318564255	1	0.06064779102341211	Not Significant
ZN136_HUMAN.H11MO.0.C	240	4251	0.056457304163726185	5520	57734	0.09561090518585236	1	0.062267417270103716	Not Significant
MYCN_HUMAN.H11MO.0.A	508	2861	0.1775602936036351	2249	15763	0.1426758865698154	1	0.06318229339157677	Not Significant
ZBT7A_HUMAN.H11MO.0.A	400	3267	0.12243648607284972	4293	31504	0.13626841036058912	1	0.06419654484535114	Not Significant
CEBPD_HUMAN.H11MO.0.C	214	3103	0.06896551724137931	4646	45327	0.10249961391665012	1	0.07453284991608468	Not Significant
FOXO3_HUMAN.H11MO.0.B	351	3509	0.1000284981476204	4674	48892	0.09559846191605988	1	0.07588211096725327	Not Significant
BRAC_HUMAN.H11MO.0.A	258	3391	0.07608375110586847	5757	53912	0.10678513132512242	1	0.076351104261925	Not Significant
OZF_HUMAN.H11MO.0.C	335	6662	0.050285199639747834	5104	56265	0.09071358748778104	1	0.07824752364133304	Not Significant
SOX3_HUMAN.H11MO.0.B	649	5610	0.11568627450980393	6777	64228	0.1055147287787258	1	0.0796351872012454	Not Significant
ZNF18_HUMAN.H11MO.0.C	249	2869	0.08678982223771349	4790	42367	0.11305969268534473	1	0.08196417799619421	Not Significant
HTF4_HUMAN.H11MO.0.A	895	8275	0.1081570996978852	7164	56791	0.1261467486045324	1	0.08407814012834913	Not Significant
CEBPG_HUMAN.H11MO.0.B	244	2343	0.10413999146393513	4980	50247	0.0991103946504269	1	0.0923336277715861	Not Significant
RELB_HUMAN.H11MO.0.C	470	3859	0.12179321067634102	7259	65942	0.11008158684904916	1	0.09334442480238503	Not Significant
NFIA_HUMAN.H11MO.0.C	444	3429	0.1294838145231846	7279	63337	0.11492492539905586	1	0.09496857359639188	Not Significant
ZNF41_HUMAN.H11MO.0.C	529	6613	0.07999395130802964	6856	63440	0.10807061790668347	1	0.09589432459868752	Not Significant
SRF_HUMAN.H11MO.0.A	328	3525	0.09304964539007092	5928	64123	0.09244732779189994	1	0.09593431802380098	Not Significant
ZBT17_HUMAN.H11MO.0.A	13835	90003	0.15371709831894492	8715	67047	0.1299834444494161	1	0.09634820751453532	Not Significant
RFX5_HUMAN.H11MO.0.A	544	3956	0.13751263902932254	5988	49906	0.11998557287700876	1	0.09676751442545056	Not Significant
P73_HUMAN.H11MO.0.A	416	4351	0.095610204550678	6459	54909	0.11763098945528055	1	0.09770716799842849	Not Significant
FOXP2_HUMAN.H11MO.0.C	230	2303	0.0998697351280938	3647	37670	0.0968144411998938	1	0.09877528928798823	Not Significant
HXC9_HUMAN.H11MO.0.C	314	4072	0.07711198428290766	4901	59205	0.08278017059369985	1	0.09950763338120028	Not Significant
ZN490_HUMAN.H11MO.0.C	365	4617	0.07905566385098549	6555	61098	0.1072866542276343	1	0.0997707227812723	Not Significant
PKNX1_HUMAN.H11MO.0.B	471	3579	0.13160100586756074	5643	48386	0.11662464349191914	1	0.10244480309317228	Not Significant
GATA4_HUMAN.H11MO.0.A	363	3525	0.10297872340425533	4760	48107	0.09894609932026524	1	0.10284311775349447	Not Significant
SNAI2_HUMAN.H11MO.0.A	611	5771	0.1058741985791024	6281	50796	0.12365146861957635	1	0.10405495474176452	Not Significant
P53_HUMAN.H11MO.0.A	336	3442	0.09761766414875073	6129	51731	0.11847828188127042	1	0.10540871402107854	Not Significant
NR2C2_HUMAN.H11MO.0.B	515	3678	0.14002175095160413	4775	39102	0.12211651577924405	1	0.10816164623830116	Not Significant
EGR1_HUMAN.H11MO.0.A	7189	38085	0.18876197978206646	5684	37304	0.15236971906497962	-1	0.11052088729208542	Not Significant
CEBPA_HUMAN.H11MO.0.A	269	3845	0.06996098829648895	5434	53786	0.10103000780872344	1	0.11253829348621192	Not Significant
ZN554_HUMAN.H11MO.0.C	908	8386	0.10827569759122346	6294	50478	0.12468798288363248	1	0.11325905001682218	Not Significant
SMAD4_HUMAN.H11MO.0.B	832	5981	0.13910717271359305	6058	49718	0.1218472183112756	1	0.11434685117033744	Not Significant
MTF1_HUMAN.H11MO.0.C	268	1777	0.15081598199212154	2745	21246	0.12920079073707993	1	0.11677911325887208	Not Significant
NFAC1_HUMAN.H11MO.0.B	1529	25690	0.05951732191514208	7107	75456	0.09418734096692112	1	0.12084885029186249	Not Significant
MAFB_HUMAN.H11MO.0.B	386	3005	0.12845257903494176	6111	52867	0.11559195717555375	1	0.12159714965133162	Not Significant
PO2F2_HUMAN.H11MO.0.A	351	4340	0.08087557603686636	4517	52364	0.08626155373921014	1	0.12359076575976685	Not Significant
TF7L1_HUMAN.H11MO.0.B	296	3895	0.07599486521181001	6937	66544	0.10424681413801394	1	0.12374106184438949	Not Significant
SMCA5_HUMAN.H11MO.0.C	404	5363	0.0753309714711915	5502	53052	0.10370956797104727	1	0.12661752691044226	Not Significant
AHR_HUMAN.H11MO.0.B	36	291	0.12371134020618554	1390	12312	0.11289798570500326	1	0.12696749072863894	Not Significant
HLF_HUMAN.H11MO.0.C	85	1062	0.0800376647834275	1830	21294	0.0859397013243167	1	0.12806183710619778	Not Significant
STAT2_HUMAN.H11MO.0.A	2908	50394	0.0577052823748859	6566	70830	0.09270083298037554	1	0.12914688715067707	Not Significant
ZN257_HUMAN.H11MO.0.C	587	5861	0.10015355741341067	7213	60680	0.11886947923533288	1	0.13100018863735957	Not Significant
HXA13_HUMAN.H11MO.0.C	214	2805	0.07629233511586453	4522	53934	0.08384321578225239	1	0.13319271648464015	Not Significant
LEF1_HUMAN.H11MO.0.A	696	9666	0.07200496585971446	7457	73575	0.10135236153584776	1	0.13362486130954365	Not Significant
ANDR_HUMAN.H11MO.0.A	1372	24840	0.055233494363929145	5736	63159	0.09081841067781314	1	0.13753984783967893	Not Significant
ZN260_HUMAN.H11MO.0.C	288	5785	0.04978392394122731	4507	51590	0.08736189183950377	1	0.13965216487517207	Not Significant
FEZF1_HUMAN.H11MO.0.C	470	6543	0.07183249274033318	7343	72856	0.10078785549577247	1	0.14480416449814387	Not Significant
SUH_HUMAN.H11MO.0.A	645	5089	0.12674395755551188	5468	47246	0.1157346653684968	1	0.15035040384302722	Not Significant
COT1_HUMAN.H11MO.0.C	1996	16604	0.12021199710913033	8023	61549	0.13035142731807178	1	0.15382039076230214	Not Significant
MAF_HUMAN.H11MO.0.A	421	5099	0.08256520886448324	6435	60179	0.10693098921550707	1	0.15754066445384368	Not Significant
IRF1_HUMAN.H11MO.0.A	3422	59175	0.057828474862695385	6546	71443	0.09162549165068656	1	0.1577899433631607	Not Significant
SMCA1_HUMAN.H11MO.0.C	473	6408	0.07381398252184769	7104	69991	0.1014987641268163	1	0.15809455515315896	Not Significant
RXRG_HUMAN.H11MO.0.B	352	3224	0.10918114143920596	5928	56345	0.1052089803886769	1	0.15911645379991302	Not Significant
E2F6_HUMAN.H11MO.0.A	3587	22561	0.15899117946899516	5763	42368	0.13602246978851965	1	0.1594680276563714	Not Significant
TBP_HUMAN.H11MO.0.A	195	2761	0.07062658457080769	3680	45202	0.08141232688819079	1	0.16028864663054726	Not Significant
ZN382_HUMAN.H11MO.0.C	175	2237	0.07822977201609298	4372	42023	0.10403826475977443	1	0.1632282670774416	Not Significant
Z324A_HUMAN.H11MO.0.C	902	9303	0.09695797054713533	7398	63992	0.11560820102512814	1	0.16352053932737443	Not Significant
TWST1_HUMAN.H11MO.0.A	242	4050	0.059753086419753076	5232	56528	0.09255590150014152	1	0.16478614709486705	Not Significant
TCF7_HUMAN.H11MO.0.A	405	5312	0.07624246987951808	6985	68053	0.10264058895272804	1	0.1678541670471057	Not Significant
PRDM6_HUMAN.H11MO.0.C	2843	48430	0.058703283088994425	7276	79313	0.09173779834327284	1	0.1694441342058154	Not Significant
ITF2_HUMAN.H11MO.0.C	1225	10270	0.1192794547224927	7701	59610	0.1291897332662305	1	0.1696028105672706	Not Significant
HXB13_HUMAN.H11MO.0.A	268	3547	0.07555680857062308	5137	60574	0.08480536203651731	1	0.16970462133112357	Not Significant
RXRA_HUMAN.H11MO.0.A	2436	21512	0.11323912235031612	8200	65428	0.12532860549000427	1	0.17313467528142118	Not Significant
RUNX1_HUMAN.H11MO.0.A	516	5235	0.09856733524355302	5414	54554	0.09924111889137367	1	0.17553302017682437	Not Significant
ZN667_HUMAN.H11MO.0.C	563	5419	0.10389370732607492	7679	64302	0.11942085782712825	1	0.1767959707857129	Not Significant
RUNX3_HUMAN.H11MO.0.A	501	4996	0.10028022417934347	5495	54667	0.1005176797702453	1	0.1817868789849466	Not Significant
NR2E3_HUMAN.H11MO.0.C	449	6645	0.06756960120391271	6806	70353	0.09674072178869417	1	0.18312238325184033	Not Significant
BATF3_HUMAN.H11MO.0.B	289	4042	0.07149925779317169	5873	59224	0.0991658786978252	1	0.18326178056441061	Not Significant
ZN331_HUMAN.H11MO.0.C	1084	7488	0.14476495726495728	7574	59099	0.1281578368500313	1	0.18567378555604452	Not Significant
PATZ1_HUMAN.H11MO.0.C	32065	167810	0.19107919671056556	8435	53789	0.15681644945992676	-1	0.18626161054638013	Not Significant
CEBPB_HUMAN.H11MO.0.A	222	3451	0.06432917994784121	4433	46849	0.09462315097440714	1	0.1864673728692583	Not Significant
WT1_HUMAN.H11MO.0.C	29666	156629	0.1894029841217144	8199	52607	0.15585378371699585	-1	0.18844965158677907	Not Significant
ZIM3_HUMAN.H11MO.0.C	616	8306	0.07416325547796772	6680	66412	0.10058423176534363	1	0.1900305131361113	Not Significant
ZIC3_HUMAN.H11MO.0.B	898	7096	0.12655016910935735	7626	57365	0.13293820273686047	1	0.19122237254156593	Not Significant
NKX21_HUMAN.H11MO.0.A	229	2320	0.09870689655172414	6294	54407	0.1156836436487952	1	0.19234998706924655	Not Significant
IRF8_HUMAN.H11MO.0.B	1349	17274	0.07809424568715989	7038	68446	0.10282558513280543	1	0.19574457896748199	Not Significant
MYB_HUMAN.H11MO.0.A	234	2436	0.0960591133004926	6175	54250	0.11382488479262673	1	0.19909163719089196	Not Significant
BC11A_HUMAN.H11MO.0.A	2140	26448	0.0809134906231095	7622	73037	0.1043580650902967	1	0.20222603960956576	Not Significant
HSF2_HUMAN.H11MO.0.A	353	3551	0.09940861729090396	4819	47847	0.1007168683512028	1	0.20404428123119228	Not Significant
BATF_HUMAN.H11MO.0.A	226	3203	0.07055885107711521	5252	53788	0.09764259686175356	1	0.21207014745662972	Not Significant
IRF9_HUMAN.H11MO.0.C	436	5697	0.07653150781112866	4863	55936	0.08693864416475973	1	0.21572104491918326	Not Significant
