gene	log2FoldChange_hct116_30minProt	pval_hct116_30minProt	log2FoldChange_hct116_120minProt	pval_hct116_120minProt
NSDHL	-0.17086120600000002	0.007473454	0.014825777	0.783135982
GPR89B;GPR89A	-0.188714386	0.007520795	-0.124187979	0.054768252999999996
TEAD2	-0.315486295	0.007605486	-0.10083563599999999	0.148541206
PITPNM2	-0.15847378199999998	0.007620384	-0.008434309000000001	0.8937339120000001
TRIM32	0.181082565	0.007685076	0.0046404409999999995	0.936728624
ABCD3	-0.196449945	0.007700899000000001	-0.15748129	0.031536994
RBBP8	-0.18598062699999998	0.007716838	-0.029807244	0.667046169
LONRF3	0.7848665579999999	0.007731991999999999	1.140109905	0.062739288
TOP2B	0.30948878399999996	0.007820147	0.334903973	0.06324537400000001
AIFM1	-0.184303274	0.007822401	-0.091446585	0.117861447
PDHB	-0.264436066	0.007862276999999999	0.041717524	0.490107801
MGAT1	-0.22240564399999999	0.007863041999999999	-0.058876689	0.38925277799999997
ATP5EP2;ATP5E	-0.191075888	0.008098914	0.001848824	0.968673232
KDELR3	-0.279398747	0.008147628	-0.111396253	0.277147987
SSR3	-0.262027242	0.008282237	-0.172479556	0.037274464
AGPAT2	-0.163422019	0.008416241999999999	-0.025030136	0.598324106
MYH11	0.328639759	0.008464603000000001	0.062226283	0.675201869
B3GNT2	-0.269170195	0.008676051	-0.01474634	0.86384463
GALNT2	-0.161286495	0.008762894	-0.045857999	0.309094346
HEATR1	0.17919606800000001	0.00885133	0.136375585	0.10417754
DPY19L1	-0.175291845	0.008898025	-0.081587402	0.145364211
JADE1	0.334821139	0.008990742	0.244424988	0.120788176
POTEKP	-0.900687143	0.009008198	-0.479801215	0.007971851
CASC4	-0.173628955	0.009040071	-0.057096625	0.329272898
MAPK1IP1L	0.268260901	0.00916772	-0.034317401000000004	0.731005857
POR	-0.16156279699999998	0.009169966	-0.000383084	0.993651317
SEC11L3;SEC11C	-0.198533343	0.009345551	-0.040623646	0.49554991
DDX46	0.19208686600000002	0.009377233	-0.043361855	0.696812876
ORMDL2;ORMDL1	-0.198203098	0.009378429	-0.060946525999999994	0.466224265
CERS6	-0.200464146	0.009393442	-0.033250308	0.540739667
FUT8	-0.20405114800000002	0.009448871	-0.164309904	0.010047175
LBR	-0.195653162	0.009451054	-0.059802277	0.23500621800000002
STOML2	-0.208193293	0.009629354	-0.11870030300000001	0.021608389
LIG3	0.179999646	0.009862448000000001	0.278507135	0.00285808
EMC4	-0.307420033	0.009925759000000001	-0.01680576	0.896110709
ANO10	-0.171695502	0.010024418	0.01192087	0.803646695
SPATA5L1	0.174909289	0.010065749	0.03472301	0.577688535
FZD8	-0.19124676899999998	0.010160942	-0.022679632	0.653099102
SCFD1	-0.16778294800000002	0.010431711	-0.0006702769999999999	0.988830819
PAG1	0.17598912100000003	0.010471899	0.013973622	0.8506257840000001
ANO1	-0.162058554	0.010487428	-0.0022860479999999997	0.961879192
ZKSCAN5	0.235496381	0.010634437	0.09777011	0.38608149399999997
DLAT	-0.269066412	0.010687488	0.049843693	0.44610127299999996
DERL1	-0.18060011399999998	0.010807687	-0.07627423	0.232172553
CCDC47	-0.167600188	0.010832268	-0.036830821	0.533223075
CLPTM1	-0.209817504	0.010847529	-0.019754476	0.7563780929999999
MAN2A1	-0.153666475	0.010886659	-0.059489075	0.247039242
NELFB	-0.17419940899999997	0.010892371000000001	-0.13124197199999998	0.03287203
RNF167	-0.214940246	0.010908287	0.007541798000000001	0.9028055509999999
RXRA	0.18806481	0.011162043	0.12485559199999999	0.12609925
WDR46	0.266410176	0.011200837	0.185554455	0.185568215
SQSTM1	-0.29000991	0.011216251000000002	-0.020635448	0.8216852490000001
YBX3	0.15447280900000002	0.011452839	0.17550556899999997	0.005720763
SPCS2	-0.163439854	0.011507861000000001	-0.09433041800000001	0.048037654000000006
PEX3	-0.19885998	0.01152417	0.037552664	0.583457723
VRK3	0.21530412699999998	0.011556897	0.083069201	0.373192197
B3GALNT2	-0.21353656	0.011602902	-0.122315273	0.11481297800000001
BLZF1	-0.21896239399999998	0.011612774	-0.088916723	0.321376924
TMED1	-0.177440099	0.011659422	-0.060841234	0.28820298699999997
PDHA1	-0.23099683399999998	0.011660281000000002	0.032377655	0.575311166
TMEM259	-0.16853709100000003	0.011797345	-0.004281938	0.939999131
TOR1AIP2	-0.182497983	0.011833033	0.048677832000000004	0.426123962
IWS1	-0.196389564	0.011853393	-0.36263094799999995	5.610000000000001e-05
H2AFV;H2AFZ	0.20767096899999998	0.01207641	0.46642285299999997	0.060609247000000005
ATP2A2	-0.172385282	0.012195501999999999	-0.029382734	0.584227823
SSR4	-0.299774212	0.012224869	-0.08807886699999999	0.36009206299999996
MXRA7	-0.244273215	0.012252533999999999	0.020599788	0.743535795
GORASP1	-0.16209396	0.012399033	-0.050736097	0.283332557
ACBD5	-0.204712625	0.012408348999999999	-0.148904288	0.054362938
ESYT1	-0.158552838	0.0126025	0.049720139000000003	0.309786453
CIRH1A	0.212782763	0.012805031000000001	0.193024522	0.086664794
ABCD1	-0.208215325	0.012833218	-0.0067721759999999995	0.9080503529999999
6-Mar	-0.315085667	0.012841428	-0.134113027	0.119837205
MED30	-0.147413971	0.012931726000000001	-0.003862431	0.9447649159999999
YIPF5	-0.20008190399999998	0.013176651000000001	0.010586932	0.849087673
SLC17A5	-0.153153823	0.013443811000000002	0.046633087999999996	0.367987237
ALG3	-0.248615912	0.013454065	0.086514619	0.279554751
SDE2	-0.226503868	0.013512866	-0.404926668	0.001192139
RPLP1	0.220822705	0.013536476	0.190475223	0.022719358
HSD17B12	-0.162807423	0.013612473	-0.009036115	0.863302241
TMED2	-0.143179157	0.013664707	-0.002625667	0.954339688
GCNT1	-0.321366549	0.013737778999999999	-0.220112208	0.093429847
TMPPE	-0.166503373	0.013789423	-0.06772644400000001	0.248079889
PALM3	0.17647116899999998	0.013998333	-0.010282902	0.8912513209999999
ATP5J	-0.240686862	0.014055303	0.08327602	0.29540040300000003
USMG5	-0.17203460899999998	0.014109541000000001	-0.00514589	0.922724952
CCDC58	0.212984781	0.014142736000000001	0.10022606099999999	0.30966936
TMEM115	-0.183806214	0.014227968	0.040619874	0.393764261
VAPB	-0.182267115	0.01423378	-0.04250883900000001	0.449964818
MRPL1	-0.155467555	0.014328651000000001	-0.00618532	0.894459982
MRPL48	-0.150057485	0.014486108000000001	0.004716708	0.925144898
ACTR3B;ACTR3C	0.142645532	0.014644703	0.115566702	0.043755834
PPRC1	-0.24653144	0.014697455	-0.517675993	5.63e-06
ALG6	-0.163248974	0.01476176	-0.043832845	0.400450971
SLC37A4	-0.175335813	0.014903287	-0.053183084000000005	0.274820496
NFAT5	0.146273312	0.015112023	0.24219721600000002	0.104512696
CISD2	-0.169587233	0.015113771000000002	0.047878528	0.334766006
KIAA0586	-0.296138305	0.015137828	-0.177179266	0.033204539
SPINT2	-0.278564859	0.015233328	0.18756543	0.060164815
C14orf1	-0.168580872	0.01524324	-0.13264880099999998	0.012120398999999999
FAR1	-0.15837178	0.015244141000000001	0.038042368	0.381038096
GRPEL1	-0.238203845	0.015309443	-0.068015425	0.278258145
ITGB6	-0.23719306399999998	0.015367538	-0.083740937	0.24496131
TMED10	-0.176418655	0.015379788	-0.012293045	0.810748295
RABL3	-0.143980411	0.015385955	-0.082889403	0.129999171
BANF1	0.5217422039999999	0.015498979	0.870242785	0.060924926
ATP5C1	-0.18299691399999998	0.015505053999999999	0.057323611	0.257278408
ERLIN1	-0.25339924399999997	0.015506552	-0.156715048	0.097341181
GLT8D2	-0.169406059	0.015655185	-0.033235922	0.470414968
EMC1	-0.190974691	0.015759746	-0.058691104	0.43439407799999996
C2orf44	0.160606492	0.016009898	0.035725154	0.48781877
HIST1H4A	0.687222687	0.016088955	1.1106372709999999	0.06807641099999999
DDOST	-0.16626513	0.016270983	-0.015815268	0.782776128
ARL6IP5	-0.184749102	0.016330525	0.01257274	0.786990965
RPRD1A	-0.219816861	0.016776611	-0.41452137200000005	3.65e-05
ATP5J2	-0.190175371	0.016783816	0.055164303	0.300625857
SUPT5H	-0.144938008	0.016799035	-0.28839339	0.000131177
HSPD1	-0.17813682	0.016840547	0.04105391	0.534278347
SEC22B	-0.163305501	0.017021747	0.021283366	0.667778569
LMAN1	-0.157025111	0.017182273999999997	0.021631362	0.666398236
NEU3	0.23720787100000001	0.01724633	-0.024892835	0.7713126779999999
PUM1	0.214516803	0.017267051999999998	-0.067217039	0.12053467
HACD2	-0.18544838100000002	0.017324862	-0.127054599	0.07247176
ATP5D	-0.17518136199999998	0.017405301	0.051184143	0.373907913
ATP2B3	-0.18258229899999998	0.017473124	0.06287289900000001	0.30988727899999996
ATP5G1;ATP5G2;ATP5G3	-0.191716794	0.017532848	0.039050444	0.508798335
SCAF8	-0.19489104399999999	0.017548541	-0.371990142	0.00032115400000000004
DCAF13	0.199838369	0.017567008000000002	0.077383827	0.45130579299999996
SMIM13	-0.170007976	0.017597069	-0.017935017	0.851901453
MBOAT7	-0.201268787	0.017671474	-0.156120856	0.018927253999999998
NIFK	0.217426907	0.017767261	0.11484016	0.22908237399999998
REEP5	-0.151378548	0.018005569	0.039643574	0.48081872700000006
TMEM230	-0.15423373	0.018015913999999997	-0.024521499	0.6341468720000001
RNF139	-0.32130309100000004	0.018017683	-0.077646666	0.33120068
GNB1	0.180434803	0.018029581	-0.040347981	0.599363237
LARP7	0.15607342800000001	0.018066755	0.215305081	0.002000344
ERMP1	-0.172179845	0.018100423	-0.011826053000000001	0.813917345
CERS4	-0.17075046	0.018348781	0.03233279	0.647481775
ZDHHC4	0.155374776	0.018394324	0.011834259	0.8503468740000001
PGRMC1	-0.16477039699999999	0.018407519	0.00376237	0.949207558
RAP1GAP	0.13598997599999998	0.018447985	0.025185195	0.72823222
MRPS5	-0.156741433	0.018545311999999998	0.026959518	0.596606464
SLC27A2	-0.145824866	0.018849095	-0.028121251	0.5445138860000001
ARHGEF3	0.14150948300000002	0.018854697	0.045070375999999995	0.34086428399999996
TMED7-TICAM2;TMED7	-0.219683275	0.018949959	-0.042643732000000004	0.408263738
MRPL16	-0.163372371	0.019097962	-0.015894472	0.747384218
MAGEB1	0.18169069100000002	0.019206346000000003	0.049562922999999995	0.274072879
ITM2C	-0.17309533300000002	0.01922481	-0.031249834	0.493343023
ERAL1	-0.165042154	0.019445757	-0.009292825	0.873028108
TM9SF4	-0.196230035	0.019448442	0.10159142300000001	0.082981763
UBE2J1	-0.181987307	0.019517436000000003	-0.038203938	0.621224035
ACADM	-0.17164254899999998	0.019642823	0.016845974	0.768472286
RBP7	0.165315734	0.019696536	0.134178641	0.051652345
UBAC2	-0.148602014	0.019725278	-0.091237554	0.12878309599999999
C6orf120	-0.285341862	0.019751898	-0.088634329	0.377025613
ERI3	0.155619851	0.019797995	-0.04747925	0.37516268700000005
FRAS1	-0.13493623300000002	0.019800853	-0.03171605	0.469699123
NDUFA11	-0.19046365899999998	0.019806719	-0.138318055	0.10262968800000001
CDK5RAP3	-0.14136079199999999	0.020044713000000002	-0.021662259	0.694666418
KIAA0020	0.21383551	0.020200171	0.074034183	0.530072482
SLC1A5	-0.152384818	0.020322673	0.067545337	0.196072147
SLC9A1	-0.144785002	0.020364083	-0.018756363999999998	0.679753043
KLHL7	0.140574387	0.02037798	0.158211883	0.014579497
UBXN8	-0.165428851	0.020449493	-0.048371044	0.439012726
MLYCD	-0.141725767	0.020495848	-0.035844127	0.419135549
C7orf26	-0.144264268	0.020517314	-0.246201838	0.003610402
TUFM	-0.142288504	0.020518364	-0.008762815	0.8719175929999999
SEC63	-0.155269869	0.020698916	0.029190608	0.585983182
CPSF3L	-0.131937917	0.020871048	-0.23800524	0.0005803059999999999
B4GALT7	-0.19190459699999998	0.02088599	-0.046955015999999995	0.535810616
TMEM38B	-0.148899985	0.021084999	0.025744305	0.5719691929999999
UFL1	-0.143699185	0.0211523	-0.025146152999999997	0.626314982
ACSL5	-0.200990765	0.021217091	0.035944579	0.541610707
GLS	-0.17083420000000002	0.02125507	0.057783922	0.303191007
TMEM165	-0.292694411	0.021422522000000003	0.023063907	0.750447718
MRPL30	-0.150320667	0.021533422000000003	0.004675726	0.913973018
MRPS21	-0.141679792	0.021562808	-0.015209233999999999	0.7882748709999999
RPRD2	-0.18530127	0.021686785	-0.42380956799999997	2.6300000000000002e-05
TMEM33	-0.15957954	0.02189737	-0.000631893	0.991095793
SLC4A10	-1.038991756	0.021974675	-0.571441352	0.011788513
ZBTB3	0.14812443	0.022006415	0.033033942999999996	0.42939767100000004
SON	0.154496933	0.022017485	0.192558819	0.19942944199999998
LRRC57	0.125979349	0.022095805	0.030285896	0.541889434
UXS1	-0.14205077800000002	0.02212696	-0.05143565	0.26103811600000004
GALNT10	-0.133135739	0.022151099	0.006095729	0.910336595
CDC42SE2	0.16727957599999999	0.022185857000000003	-0.000488626	0.9959832890000001
hCG_1994888;DNAJC25;GNG10	0.186262129	0.02223936	0.015759209	0.873373443
EVI5	0.166153833	0.022292278999999998	0.07175385299999999	0.221806742
KCNV2	-0.179159187	0.022326225	-0.050092338	0.383552225
NELFA	-0.129557789	0.022338242999999997	-0.149211763	0.005549554
MRPL57	-0.164699493	0.02243853	0.005423094	0.90252933
C1QBP	-0.21599368100000002	0.022445956	-0.021571025	0.672814068
SOAT1	-0.20307872600000001	0.022461019	-0.134097087	0.087255946
BFAR	-0.17201836399999998	0.022611147	-0.14933939300000001	0.014588698
WDR75	0.171978068	0.02274952	0.17270578600000003	0.139232128
SEC22A	-0.146540219	0.022766569	-0.055849172	0.325252139
MGST2	-0.169512573	0.022788918999999998	-0.11376356900000001	0.062995059
TMUB2	-0.194254615	0.02279917	-0.072607153	0.372682833
FAT1	-0.148809517	0.022917418	-0.029815517000000003	0.5386453370000001
hCG_1984214;MRPS17	-0.18527802100000001	0.022961461000000002	0.06657639	0.18827407399999999
PLCD4	0.139098094	0.023063155	0.021003847000000003	0.856686272
METAP1	0.16450893	0.023183388	0.061489788	0.308510083
SCARB1	-0.137288578	0.023272328	0.00403725	0.925318506
1-Mar	-0.144784491	0.023414662000000003	-0.036359737	0.446884777
NONO	0.191715687	0.023860978999999997	0.155722695	0.033471121
EMC7	-0.215824469	0.023941701	-0.022046982000000003	0.80904093
ERLIN2	-0.25131625	0.023954721000000002	-0.16289341599999999	0.10501849699999999
FBXL2	0.15197571	0.023964476000000002	0.054689912	0.363482398
MRPS35	-0.239200811	0.024061483999999998	0.010395867	0.869019137
YME1L1	-0.134333671	0.024067615	-0.160515888	0.017423219
PANK2	0.130091953	0.024077438	0.061723252	0.173788133
SEL1L	-0.159213066	0.024078992999999996	0.022570205	0.713142598
ATP5H	-0.194776187	0.024126309	0.06545401599999999	0.31626534100000003
NELFE	-0.13219450900000002	0.024197412999999997	-0.131146806	0.014190484
RTN4	-0.150922061	0.024229949	0.07734848	0.280035086
ERICH5	0.16702841	0.024325965	0.037827963	0.526672832
DSC2	0.17170104100000003	0.024438757000000002	0.09044252300000001	0.17915170600000002
TMTC2	-0.13613541099999998	0.024469607999999997	-0.010082718000000001	0.849828824
SPATA2L	-0.22801602899999998	0.024518731000000002	0.015887053999999998	0.87012356
SPTLC2	-0.135736315	0.024564372	0.042513919000000004	0.378825401
MRPS33	-0.142180433	0.0246076	0.07231796	0.14595871800000002
SLMAP	-0.144062297	0.024612269	-0.087979043	0.12136156
MSMO1	-0.166537659	0.024612841	0.037085405	0.497247464
TMEM246	-0.136318659	0.024733049	-0.022548425	0.690242267
DEGS1	-0.306480514	0.024782217000000002	-0.074076032	0.266612207
RNF121;RNF175	-0.199722483	0.02483648	-0.10476523300000001	0.122788453
SNAP23	0.166978301	0.024953148999999997	-0.005143814	0.9366803770000001
MRPS23	-0.177321979	0.025086666	-0.027774358	0.702519239
EMC2	-0.19735904899999998	0.025094027	-0.14125492	0.107210703
NOLC1	-0.169603471	0.02510182	-0.124709679	0.131480256
JAGN1	-0.17000914600000003	0.025153645	0.010105858	0.8348038870000001
MBTPS1	-0.166887602	0.025154503999999998	-0.068319176	0.16365849300000002
ATP5J2-PTCD1;PTCD1	-0.14948852	0.025167154	0.034145741	0.508809686
SLC2A1	-0.160512705	0.02518134	-0.10816947	0.061721701
MYO1A	-0.169725133	0.025206217000000003	0.04764507900000001	0.465372081
CHP1	-0.1428317	0.025252955	-0.016062953999999997	0.77527527
ITGB1	-0.153116208	0.025451706	0.023578325	0.692326566
