TF	NOI_DMSO_vs_Palbo_DMSO_Corrected E-Score	NOI_DMSO_vs_Palbo_DMSO_Events	NOI_DMSO_vs_Palbo_DMSO_Corrected P-adj	NOI_DMSO_vs_Palbo_DMSO_sig	NOI_DMSO_vs_SY5609_DMSO_Corrected E-Score	NOI_DMSO_vs_SY5609_DMSO_Events	NOI_DMSO_vs_SY5609_DMSO_Corrected P-adj	NOI_DMSO_vs_SY5609_DMSO_sig	NOI_DMSO_vs_NOI_IFN_Corrected E-Score	NOI_DMSO_vs_NOI_IFN_Events	NOI_DMSO_vs_NOI_IFN_Corrected P-adj	NOI_DMSO_vs_NOI_IFN_sig	SY5609_DMSO_vs_SY5609_IFN_Corrected E-Score	SY5609_DMSO_vs_SY5609_IFN_Events	SY5609_DMSO_vs_SY5609_IFN_Corrected P-adj	SY5609_DMSO_vs_SY5609_IFN_sig
KLF9_HUMAN.H11MO.0.C	0.09855229563230206	6746	1e-14	True	-0.09746727082267553	6746	1e-13	True	0.0838508812216407	6746	1e-10	True	0.01373855357617183	6746	1.0	False
SP1_HUMAN.H11MO.0.A	0.050030764214146095	19299	1e-13	True	-0.009424056704242512	19299	1.0	False	0.03364054188096205	19299	1e-05	True	-0.010163386273583423	19299	1.0	False
KLF1_HUMAN.H11MO.0.A	0.07030141095699927	10738	1e-11	True	-0.06581915857541532	10738	1e-09	True	0.0607428343606608	10738	1e-08	True	-0.0020419527503175057	10738	1.0	False
GABPA_HUMAN.H11MO.0.A	0.2021733542902937	1086	1e-08	True	0.03605819097201818	1086	1.0	False	0.20481343089814513	1086	1e-07	True	0.027489213199206167	1086	1.0	False
AP2C_HUMAN.H11MO.0.A	-0.13998021183295378	1850	1e-07	True	0.03793758723212659	1850	1.0	False	-0.12285819860437469	1850	1e-05	True	0.004396993476201625	1850	1.0	False
TEAD1_HUMAN.H11MO.0.A	-0.09865137601025406	3489	1e-07	True	0.027089319350450614	3489	1.0	False	-0.06863342872927902	3489	0.001	True	0.02820407939217546	3489	1.0	False
FOXJ3_HUMAN.H11MO.0.A	0.0510115393620644	10700	1e-06	True	-0.10225164352175381	10700	1e-29	True	0.16667821750395226	10700	1e-74	True	0.041630277904211005	10700	0.0001	True
ZN281_HUMAN.H11MO.0.A	-0.041553307372628356	14575	1e-06	True	0.03784426507307609	14575	0.0001	True	-0.05091087125850241	14575	1e-08	True	0.005447576226324569	14575	1.0	False
TYY1_HUMAN.H11MO.0.A	0.12978172870990562	1887	1e-05	True	0.12877963358447525	1887	1e-05	True	0.19331401545115845	1887	1e-13	True	0.022299587599960424	1887	1.0	False
TAF1_HUMAN.H11MO.0.A	0.068346475768429	6166	1e-05	True	-0.050657387726533	6166	0.001	True	0.16086853886532648	6166	1e-36	True	-0.008746740068419238	6166	1.0	False
ZNF18_HUMAN.H11MO.0.C	-0.16827361841297006	1009	1e-05	True	0.030727445684660182	1009	1.0	False	-0.06342823097871769	1009	0.86	False	0.07325041392767644	1009	1.0	False
ELK4_HUMAN.H11MO.0.A	0.19491317551074205	835	1e-05	True	0.05640733291279598	835	1.0	False	0.19210250968657938	835	1e-06	True	0.022701752490461424	835	1.0	False
ZN467_HUMAN.H11MO.0.C	-0.026690573085568214	26839	1e-05	True	0.024255188690770646	26839	0.0001	True	-0.03377656455732375	26839	1e-09	True	-0.007418142272444908	26839	1.0	False
BHA15_HUMAN.H11MO.0.B	-0.10610557902739509	2390	1e-05	True	0.02721701700229212	2390	1.0	False	-0.05286375618964856	2390	1.0	False	0.000201936384443031	2390	1.0	False
NFYC_HUMAN.H11MO.0.A	0.14103357215654674	1547	1e-05	True	-0.09099940557446062	1547	0.01	True	0.07011247945847798	1547	1.0	False	0.014673938290453237	1547	1.0	False
NFYA_HUMAN.H11MO.0.A	0.1453831428834209	1343	0.0001	True	-0.0763937532032754	1343	1.0	False	0.0713633766360734	1343	1.0	False	0.01765106447136955	1343	1.0	False
NFYB_HUMAN.H11MO.0.A	0.13086425701877635	1516	0.0001	True	-0.09492824134042027	1516	0.01	True	0.1068577721119705	1516	0.01	True	0.01616948903797491	1516	1.0	False
TFE3_HUMAN.H11MO.0.B	0.24324030679072128	447	0.0001	True	-0.03538128809353891	447	1.0	False	0.19219400416027538	447	0.01	True	0.009183057189604774	447	1.0	False
FOXC1_HUMAN.H11MO.0.C	0.16880497398158956	839	0.0001	True	0.14297016049824307	839	0.01	True	0.045512200829242816	839	1.0	False	-0.11034774457672071	839	0.1	False
ZN320_HUMAN.H11MO.0.C	-0.09255750363383358	2672	0.0001	True	0.008075074691617556	2672	1.0	False	-0.03301102417671259	2672	1.0	False	-1.404138724798304e-05	2672	1.0	False
NF2L2_HUMAN.H11MO.0.A	0.15723209421055312	1086	0.0001	True	0.017368618611496828	1086	1.0	False	-0.16522087336855545	1086	1e-05	True	-0.08934136109959225	1086	0.1	False
USF2_HUMAN.H11MO.0.A	0.14668142318253985	1176	0.0001	True	-0.0658994232242821	1176	0.457	False	0.17805833525334336	1176	1e-07	True	0.02277034857786637	1176	1.0	False
EGR1_HUMAN.H11MO.0.A	0.044232402381551295	10012	0.0001	True	-0.06756333456164187	10012	1e-10	True	0.08539498842542909	10012	1e-16	True	-0.007190649057630966	10012	1.0	False
ITF2_HUMAN.H11MO.0.C	-0.0963153975492958	2375	0.0001	True	0.01096776468361621	2375	1.0	False	-0.03351824126770425	2375	1.0	False	0.02160347459361983	2375	1.0	False
BACH2_HUMAN.H11MO.0.A	0.13822200167805612	1263	0.001	True	0.03892405334371002	1263	1.0	False	-0.19481613918587087	1263	1e-09	True	-0.0905197716908327	1263	0.1	False
MITF_HUMAN.H11MO.0.A	0.2335688444801547	447	0.001	True	-0.02490042209100407	447	1.0	False	0.1774584753003734	447	0.01	True	0.009082706879117912	447	1.0	False
USF1_HUMAN.H11MO.0.A	0.17437660574483593	711	0.001	True	-0.04335186813680697	711	1.0	False	0.17100318080039062	711	0.001	True	0.02241299413103359	711	1.0	False
ZN436_HUMAN.H11MO.0.C	-0.058951715302159646	5271	0.001	True	-0.012292410592764536	5271	1.0	False	-0.0514437333484431	5271	0.01	True	-0.0013988313516482397	5271	1.0	False
THAP1_HUMAN.H11MO.0.C	0.06327225601991066	5091	0.001	True	-0.05820402181005119	5091	0.01	True	0.1638941074861096	5091	1e-29	True	-0.000464254503511714	5091	1.0	False
ELF2_HUMAN.H11MO.0.C	0.15173615405179114	851	0.001	True	0.05428173675933878	851	1.0	False	0.11556649903649308	851	0.1	False	0.0007718507180301225	851	1.0	False
JUNB_HUMAN.H11MO.0.A	0.14974365845529422	851	0.001	True	-0.06540971213548724	851	1.0	False	-0.15675586843122813	851	0.001	True	-0.1395157058970562	851	0.001	True
STF1_HUMAN.H11MO.0.B	-0.09797499692414308	1885	0.001	True	0.04647024724000931	1885	0.51	False	-0.03781005874804083	1885	1.0	False	0.03468888844994211	1885	1.0	False
ZNF8_HUMAN.H11MO.0.C	-0.0789839706163481	2478	0.001	True	0.1151669397888748	2478	1e-07	True	-0.09222990938582937	2478	0.0001	True	-0.002599812413187382	2478	1.0	False
ASCL1_HUMAN.H11MO.0.A	-0.07539204323640847	3078	0.001	True	0.0044486097653052	3078	1.0	False	-0.0029092212221176195	3078	1.0	False	-0.0029296387674422296	3078	1.0	False
ELF1_HUMAN.H11MO.0.A	0.13268604509805676	981	0.001	True	0.03549569191704843	981	1.0	False	0.11315551297307191	981	0.01	True	0.02240590347862519	981	1.0	False
ETV1_HUMAN.H11MO.0.A	0.17479011327123944	596	0.01	True	0.006390976773850365	596	1.0	False	0.17639836066092646	596	0.001	True	0.038401513427644716	596	1.0	False
ZFP28_HUMAN.H11MO.0.C	-0.033579149706271405	11787	0.01	True	-0.016345540854421886	11787	0.738	False	0.02947640483018299	11787	0.1	False	0.03476456301576035	11787	0.001	True
LHX3_HUMAN.H11MO.0.C	0.09479233299928436	1650	0.01	True	-0.09301590941034926	1650	0.01	True	0.15982082316157137	1650	1e-08	True	-0.017189432977637885	1650	1.0	False
ELK1_HUMAN.H11MO.0.B	0.1706450892212657	598	0.01	True	0.062240166604745295	598	1.0	False	0.17721827029196457	598	0.001	True	0.03795622554397039	598	1.0	False
FOSL2_HUMAN.H11MO.0.A	0.15838581193903384	649	0.01	True	-0.014350071990856	649	1.0	False	-0.17328364528831336	649	0.001	True	-0.11885520013443729	649	0.1	False
TFE2_HUMAN.H11MO.0.A	-0.09131006339501746	1771	0.01	True	0.023919020108675304	1771	1.0	False	-0.0545762478287703	1771	1.0	False	-0.000612540539103635	1771	1.0	False
RFX1_HUMAN.H11MO.0.B	0.08479861663172794	2148	0.01	True	-0.06796248878200345	2148	0.1	False	0.09977601151555776	2148	0.0001	True	-0.006959750206186985	2148	1.0	False
SALL4_HUMAN.H11MO.0.B	-0.0645160035763328	3382	0.01	True	0.04075522682307503	3382	1.0	False	-0.06884876609997986	3382	0.01	True	-0.010494970397766404	3382	1.0	False
TFAP4_HUMAN.H11MO.0.A	-0.12228233935657934	900	0.01	True	0.03835218607596996	900	1.0	False	-0.11108151347204959	900	0.01	True	0.05303118899713001	900	1.0	False
NFE2_HUMAN.H11MO.0.A	0.11549254435657474	1251	0.01	True	0.051741505969385315	1251	1.0	False	-0.22164538249013288	1251	1e-12	True	-0.09513737129299896	1251	0.1	False
ZN322_HUMAN.H11MO.0.B	-0.07351662758599159	2547	0.01	True	0.024330064697541176	2547	1.0	False	-0.08184669790163168	2547	0.001	True	-0.002244414720886028	2547	1.0	False
ATF1_HUMAN.H11MO.0.B	0.19177419495333387	387	0.01	True	-0.07606636057304389	387	1.0	False	0.2600503644420627	387	0.0001	True	0.012344918855592989	387	1.0	False
PATZ1_HUMAN.H11MO.0.C	0.020366275238522302	24459	0.01	True	-0.023812757876488178	24459	0.001	True	0.035481099609827316	24459	1e-08	True	-0.00541549365409153	24459	1.0	False
JUND_HUMAN.H11MO.0.A	0.14667946606307944	694	0.01	True	-0.061003717879017316	694	1.0	False	-0.1287818980571382	694	0.1	False	-0.10166686806921821	694	1.0	False
ZN140_HUMAN.H11MO.0.C	-0.08939064626354162	1692	0.01	True	0.09023711299431897	1692	0.01	True	-0.08453792172881863	1692	0.01	True	0.020368892693696433	1692	1.0	False
AP2A_HUMAN.H11MO.0.A	-0.10211188567109525	1263	0.01	True	0.04811202021115951	1263	1.0	False	-0.09777080892900947	1263	0.1	False	-0.021585541348757686	1263	1.0	False
ZN382_HUMAN.H11MO.0.C	-0.1533079799092212	563	0.01	True	0.140220340442477	563	0.1	False	-0.04593898534483937	563	1.0	False	0.061540518974632544	563	1.0	False
FOSL1_HUMAN.H11MO.0.A	0.12312320977007621	971	0.01	True	0.003512528828861383	971	1.0	False	-0.13201673459583507	971	0.01	True	-0.14775787032479049	971	0.001	True
CREB1_HUMAN.H11MO.0.A	0.19619999315902262	340	0.01	True	-0.11309276918572603	340	0.868	False	0.28165144800283637	340	0.0001	True	0.01716258427297578	340	1.0	False
FOXI1_HUMAN.H11MO.0.B	0.111625596357291	1099	0.1	False	-0.08779324003987796	1099	1.0	False	0.07702664613938803	1099	1.0	False	0.03281655297088017	1099	1.0	False
RFX2_HUMAN.H11MO.0.A	0.08720511181686491	1540	0.1	False	-0.07954148399140992	1540	0.1	False	0.07789324218513355	1540	0.1	False	-0.017772165623587934	1540	1.0	False
HTF4_HUMAN.H11MO.0.A	-0.0976412637041435	1201	0.1	False	0.07774811171998963	1201	1.0	False	-0.07189692246071971	1201	1.0	False	-0.0017551653826170886	1201	1.0	False
ZN136_HUMAN.H11MO.0.C	-0.09984608861173103	1160	0.1	False	0.14266912888271951	1160	0.0001	True	-0.025685387729626363	1160	1.0	False	0.04330186955839099	1160	1.0	False
ATF3_HUMAN.H11MO.0.A	0.20031817848184802	339	0.1	False	-0.05218528811224177	339	1.0	False	0.13981674670702587	339	1.0	False	0.05184956801511178	339	1.0	False
KAISO_HUMAN.H11MO.0.A	0.18053905083005517	365	0.1	False	0.05436337922698248	365	1.0	False	0.2290256189442879	365	0.001	True	0.01337687317537461	365	1.0	False
NR1D1_HUMAN.H11MO.0.B	-0.0735126711768383	2043	0.1	False	-0.01582892599585306	2043	1.0	False	-0.01859134801284701	2043	1.0	False	-0.005604124097951354	2043	1.0	False
ZIC3_HUMAN.H11MO.0.B	-0.07824807970834696	1876	0.1	False	0.03827284918215634	1876	1.0	False	-0.08478764978659559	1876	0.01	True	-0.01629704806531517	1876	1.0	False
RXRA_HUMAN.H11MO.0.A	-0.04305572976628713	5318	0.1	False	-0.036572323131418616	5318	0.1	False	-0.012746202395852335	5318	1.0	False	-0.001199158608205653	5318	1.0	False
SMAD2_HUMAN.H11MO.0.A	-0.09027033930123751	1176	0.1	False	0.05561821071678785	1176	0.944	False	-0.0942757455813002	1176	0.1	False	-0.018041151253838324	1176	1.0	False
BACH1_HUMAN.H11MO.0.A	0.09387946120940949	1237	0.1	False	0.06760871586984651	1237	0.438	False	-0.23878641461728078	1237	1e-14	True	-0.07202655729587495	1237	1.0	False
SNAI2_HUMAN.H11MO.0.A	-0.10066643119373925	993	0.1	False	-0.01292950690460215	993	1.0	False	-0.032700519782442705	993	1.0	False	0.037056457241583525	993	1.0	False
TAL1_HUMAN.H11MO.0.A	0.1000249963513358	939	0.1	False	-0.18285245717229626	939	1e-05	True	-0.2572097688845395	939	1e-12	True	0.08727868085298157	939	1.0	False
ZNF41_HUMAN.H11MO.0.C	-0.08844724803460349	1231	0.1	False	0.05498183636672249	1231	0.845	False	-0.0829277388974673	1231	0.1	False	-0.011853061049661572	1231	1.0	False
RARG_HUMAN.H11MO.0.B	-0.08261005128111104	1319	0.1	False	0.005142507703619126	1319	1.0	False	-0.017269320457618365	1319	1.0	False	0.03055182991917043	1319	1.0	False
COE1_HUMAN.H11MO.0.A	-0.07287117585939107	1615	0.1	False	0.021451763928845458	1615	1.0	False	-0.010021120530251504	1615	1.0	False	0.003227765999356152	1615	1.0	False
MAZ_HUMAN.H11MO.0.A	-0.014210893150692405	28315	0.1	False	0.016946493536247054	28315	0.01	True	-0.020009763906257583	28315	0.01	True	-0.007873416976834276	28315	1.0	False
Z324A_HUMAN.H11MO.0.C	-0.06498923482260782	1837	0.1	False	0.03715688550893498	1837	1.0	False	-0.03518835164507733	1837	1.0	False	0.00780919891581482	1837	1.0	False
RUNX2_HUMAN.H11MO.0.A	-0.07255475121778529	1493	0.1	False	0.03701963610379433	1493	1.0	False	-0.06355277186727976	1493	1.0	False	-0.01668589334998438	1493	1.0	False
ZIM3_HUMAN.H11MO.0.C	-0.06206564167773057	2020	0.1	False	0.09282905071054914	2020	0.001	True	-0.0729924358627902	2020	0.1	False	-0.02415786211245345	2020	1.0	False
NR1H3_HUMAN.H11MO.0.B	-0.08392653135306993	1134	1.0	False	-0.015260574529441073	1134	1.0	False	-0.022958337370071025	1134	1.0	False	0.01226756514745946	1134	1.0	False
STAT3_HUMAN.H11MO.0.A	0.10357044524678402	736	1.0	False	0.029178912089609266	736	1.0	False	0.19728919116702948	736	1e-05	True	0.16857585652721743	736	0.001	True
NFIC_HUMAN.H11MO.0.A	-0.05860645749210852	2322	1.0	False	-0.00099289482299747	2322	1.0	False	-0.10668328917879105	2322	0.0001	True	-0.0138451339454202	2322	1.0	False
ZN264_HUMAN.H11MO.0.C	-0.08306056036639597	1028	1.0	False	0.06906499475197153	1028	1.0	False	-0.10346779843922566	1028	0.1	False	-0.011081785904173094	1028	1.0	False
ETV5_HUMAN.H11MO.0.C	0.037694649426416704	4923	1.0	False	-0.004769925705634448	4923	1.0	False	-0.005831736387012509	4923	1.0	False	-0.0028464887561095286	4923	1.0	False
JUN_HUMAN.H11MO.0.A	0.12712107273346748	514	1.0	False	-0.048787443961462534	514	1.0	False	-0.19241982647507344	514	0.001	True	-0.0997621440870118	514	0.516	False
ZN331_HUMAN.H11MO.0.C	-0.05469900096877278	2067	1.0	False	0.03680297956646045	2067	1.0	False	-0.06026593124882945	2067	1.0	False	-0.015384029687991322	2067	1.0	False
ZN449_HUMAN.H11MO.0.C	-0.09659924032435113	666	1.0	False	0.10544089237153337	666	1.0	False	-0.10509111433475526	666	1.0	False	-0.0016122911521603868	666	1.0	False
IRF9_HUMAN.H11MO.0.C	0.0932290849444258	763	1.0	False	-0.05103132289427101	763	1.0	False	0.15338162197422248	763	0.001	True	0.054975981194177834	763	1.0	False
ZN260_HUMAN.H11MO.0.C	-0.041908367853858014	3558	1.0	False	0.07085327230343566	3558	0.001	True	-0.04094290476129525	3558	1.0	False	0.011552977778285728	3558	1.0	False
BMAL1_HUMAN.H11MO.0.A	0.12434639160685224	463	1.0	False	-0.02461957160709205	463	1.0	False	0.09975422974013887	463	0.697	False	-0.005136441363018225	463	1.0	False
E2F3_HUMAN.H11MO.0.A	-0.13483701470383191	380	1.0	False	-0.11602446689468482	380	0.429	False	0.07931630444684551	380	1.0	False	0.02963485212924458	380	1.0	False
PEBB_HUMAN.H11MO.0.C	-0.08479438965640856	848	1.0	False	0.05125287617246127	848	1.0	False	-0.12243841513735898	848	0.01	True	-0.03755167675774028	848	1.0	False
AIRE_HUMAN.H11MO.0.C	-0.09972247106777879	610	1.0	False	0.04223319949665047	610	1.0	False	-0.03151965199604534	610	1.0	False	0.004384198031793076	610	1.0	False
ZN554_HUMAN.H11MO.0.C	-0.057911747220994125	1674	1.0	False	0.05338777356693475	1674	0.444	False	-0.07004605523805207	1674	0.1	False	0.03277031915074305	1674	1.0	False
ZN490_HUMAN.H11MO.0.C	-0.0768113071307879	1017	1.0	False	0.1191694388417952	1017	0.01	True	-0.048292741782196114	1017	1.0	False	0.05497478784710068	1017	1.0	False
OZF_HUMAN.H11MO.0.C	-0.036701750431593905	3790	1.0	False	0.0620432293012437	3790	0.01	True	-0.03276602791030675	3790	0.535	False	0.006969580110481837	3790	1.0	False
ZBT18_HUMAN.H11MO.0.C	-0.08123712880557732	859	1.0	False	0.024639484707095816	859	1.0	False	-0.045010278275407545	859	1.0	False	0.038743866022704854	859	1.0	False
ZSC22_HUMAN.H11MO.0.C	-0.0297598131581428	5915	1.0	False	-3.380271343511598e-05	5915	1.0	False	-0.0006036721110927457	5915	1.0	False	0.00021654861762150993	5915	1.0	False
IRF3_HUMAN.H11MO.0.B	-0.01392399018749782	21118	1.0	False	0.00565043164142795	21118	1.0	False	0.004696459445244605	21118	1.0	False	0.009140565965558685	21118	1.0	False
ESR1_HUMAN.H11MO.0.A	-0.07312174932939253	939	0.374	False	0.006973082600222336	939	1.0	False	-0.05622402251659864	939	1.0	False	0.0317080925703478	939	1.0	False
PPARG_HUMAN.H11MO.0.A	-0.057960498686386475	1506	0.388	False	-0.0038143603587758035	1506	1.0	False	-0.027135588007569156	1506	1.0	False	-0.015075392441110969	1506	1.0	False
CREM_HUMAN.H11MO.0.C	0.1287276861186718	351	0.391	False	-0.07975603991242686	351	1.0	False	0.1811021081158108	351	0.1	False	-0.014020380631555609	351	1.0	False
ZN547_HUMAN.H11MO.0.C	-0.11297858533662875	373	0.395	False	-0.022965303127040593	373	1.0	False	-0.03694813407970843	373	1.0	False	0.016866664249816442	373	1.0	False
HNF4G_HUMAN.H11MO.0.B	-0.07321168284416107	878	0.399	False	-0.0084529506429733	878	1.0	False	-0.05905647830760763	878	1.0	False	0.0344467503118754	878	1.0	False
E2F6_HUMAN.H11MO.0.A	0.03853219325111967	3324	0.454	False	-0.10139659912929155	3324	1e-06	True	0.12070654682214915	3324	1e-10	True	0.004355862412902653	3324	1.0	False
ZN257_HUMAN.H11MO.0.C	-0.06985593007061175	916	0.514	False	0.027535028629091685	916	1.0	False	-0.038028821405434565	916	1.0	False	0.03587694150670846	916	1.0	False
ZN708_HUMAN.H11MO.0.C	-0.08608485883165296	612	0.525	False	0.029216571898539045	612	1.0	False	-0.030171691145343016	612	1.0	False	0.011452758083305361	612	1.0	False
ZN134_HUMAN.H11MO.0.C	-0.07772728937640244	764	0.525	False	0.04560266021166559	764	1.0	False	-0.10025153133576459	764	1.0	False	-0.04108928588078894	764	1.0	False
ESR2_HUMAN.H11MO.0.A	-0.06603879059033158	947	0.553	False	-0.024440789506692484	947	1.0	False	-0.031118713635037265	947	1.0	False	0.003958308480298043	947	1.0	False
ZN586_HUMAN.H11MO.0.C	-0.04564083349950415	2076	0.558	False	0.009108149397196286	2076	1.0	False	-0.015050259118180975	2076	1.0	False	0.04376593454685293	2076	0.633	False
KLF4_HUMAN.H11MO.0.A	-0.06478775191159536	1002	0.603	False	0.10336008318965234	1002	0.1	False	-0.23299476791000745	1002	1e-10	True	-0.07796406880311212	1002	1.0	False
ZN418_HUMAN.H11MO.0.C	0.05296242746699292	1520	0.613	False	-0.12180325061741629	1520	0.0001	True	-0.1647628099108136	1520	1e-08	True	0.08741305349842814	1520	0.1	False
E2F4_HUMAN.H11MO.0.A	0.03834585537569396	2850	0.626	False	-0.06885840437834778	2850	0.01	True	0.09387146693405196	2850	0.0001	True	0.005594863485910321	2850	1.0	False
HNF4A_HUMAN.H11MO.0.A	-0.07062799329706229	802	0.653	False	-0.022359987753571953	802	1.0	False	-0.05286190412381331	802	1.0	False	0.026831801759203806	802	1.0	False
IRF7_HUMAN.H11MO.0.C	0.05911480879779871	1328	0.665	False	-0.040022138141114966	1328	1.0	False	0.06098231474950688	1328	0.458	False	0.010459317198396984	1328	1.0	False
MYOG_HUMAN.H11MO.0.B	-0.04404590546567971	2039	0.672	False	-0.012432725593422067	2039	1.0	False	0.0030465002336332314	2039	1.0	False	-0.0007210623714324106	2039	1.0	False
RXRB_HUMAN.H11MO.0.C	-0.06493576644917204	982	0.673	False	0.04375571744115592	982	1.0	False	-0.06829960747035146	982	0.465	False	-0.028651237956242463	982	1.0	False
ZSC31_HUMAN.H11MO.0.C	-0.05308087440007642	1480	0.675	False	0.02065373654827063	1480	1.0	False	-0.04664027728675424	1480	1.0	False	-0.008649956467673688	1480	1.0	False
LYL1_HUMAN.H11MO.0.A	-0.04096859719658996	2165	0.745	False	0.039109118670313414	2165	1.0	False	-0.036344356571749004	2165	1.0	False	-0.0067777923001548345	2165	1.0	False
INSM1_HUMAN.H11MO.0.C	-0.08024579435886842	597	0.76	False	-0.016411089408956026	597	1.0	False	-0.046314342613498816	597	1.0	False	0.02449709190808172	597	1.0	False
ZN768_HUMAN.H11MO.0.C	-0.021734513974501712	7756	0.761	False	0.009280468440247103	7756	1.0	False	-0.07247684516149783	7756	1e-09	True	-0.0326267417252503	7756	0.1	False
PPARA_HUMAN.H11MO.0.B	-0.05735910248276288	1085	0.842	False	-0.021039365173198765	1085	1.0	False	-0.026235521858768707	1085	1.0	False	0.005322630366978939	1085	1.0	False
GRHL2_HUMAN.H11MO.0.A	-0.10350313172540204	327	0.88	False	0.024556470528552088	327	1.0	False	-0.1278879978241254	327	0.431	False	-0.002699029955339804	327	1.0	False
NR1H4_HUMAN.H11MO.0.B	-0.052815616279697275	1412	0.905	False	-0.07732398302480292	1412	0.1	False	0.09073991379353596	1412	0.01	True	0.023545404351556817	1412	1.0	False
ERG_HUMAN.H11MO.0.A	0.03856152001705948	2513	0.932	False	0.02368523436225961	2513	1.0	False	0.004726427487624696	2513	1.0	False	-0.01503245530808757	2513	1.0	False
