NAME	dbtype	SIZE	NES_NOI_DMSO_vs_Palbo_DMSO	FDR_q-val_NOI_DMSO_vs_Palbo_DMSO	NES_NOI_DMSO_vs_SY5609_DMSO	FDR_q-val_NOI_DMSO_vs_SY5609_DMSO	NES_NOI_DMSO_vs_NOI_IFN	FDR_q-val_NOI_DMSO_vs_NOI_IFN	NES_SY5609_DMSO_vs_SY5609_IFN	FDR_q-val_SY5609_DMSO_vs_SY5609_IFN
EPITHELIAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	GOBP	45	4.683974	0.47716722	-0.6446184	1.0	1.5274462	0.8810243000000001	-1.2965878	0.33461696
INSULIN_LIKE_GROWTH_FACTOR_BINDING	GOMF	25	4.621556299999999	0.49634314	-0.89284325	1.0	0.48686162	1.0	-1.9362631999999997	0.016316785
P38MAPK_CASCADE	GOBP	44	4.62573	0.49759433	-0.85050476	1.0	-1.1383862	0.6592631	-1.0910685	0.64970666
RECURRENT_BACTERIAL_SKIN_INFECTIONS	HP	25	4.6283994	0.50199634	-0.8679773000000001	1.0	-0.78328973	0.9781173000000001	-1.5283831	0.12142218
PHOSPHOTYROSINE_RESIDUE_BINDING	GOMF	42	4.63696	0.50407404	-0.7976095999999999	1.0	-1.0296649	0.7868122	-1.4048105	0.21160860000000004
FIBRONECTIN_BINDING	GOMF	28	4.641787	0.5064295999999999	-0.5008689000000001	1.0	1.1556565	1.0	-1.1239768	0.5998875
MAMMARY_GLAND_MORPHOGENESIS	GOBP	33	4.6641273000000005	0.5084325	-0.93546736	1.0	-1.2960439	0.47618815	-1.7217584	0.04994101
REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS	GOBP	47	4.6384625	0.50912976	-0.81162024	1.0	0.69265616	1.0	-0.8802591999999999	0.9213199000000001
BHLH_TRANSCRIPTION_FACTOR_BINDING	GOMF	28	4.6434370000000005	0.5120977	-1.0752058999999998	0.9316245999999999	-1.2109476000000001	0.57630354	-1.5706943000000002	0.10298607
HYPERKINETIC_MOVEMENTS	HP	31	4.6285315	0.5124732	-1.0630372	0.96024096	-0.8189595000000001	0.95823324	-1.2530099	0.39020362
LACTATION	GOBP	36	4.6455910000000005	0.5167854000000001	-0.91031164	1.0	-0.9322635	0.87916416	-1.1958132	0.48044604
LUNG_ALVEOLUS_DEVELOPMENT	GOBP	40	4.611280000000001	0.52209467	-0.90719527	1.0	-0.9532485999999999	0.8577427	-1.3958391	0.217921
VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	GOBP	33	4.6505322	0.527084	-1.1031992	0.8885799000000001	-0.7045754	1.0	-0.78050137	0.9839642
AMINE_CATABOLIC_PROCESS	GOBP	24	4.646311799999999	0.52763695	-0.6792858	1.0	0.73329633	1.0	-1.3313714	0.29048154
NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	GOBP	36	4.652674	0.53281796	-1.0252331000000001	1.0	0.7793483	1.0	-1.0403419	0.7356948
INCREASED_CIRCULATING_GONADOTROPIN_LEVEL	HP	53	4.595676	0.5371019	-0.8348521000000001	1.0	-0.62486035	1.0	-1.0428314	0.732324
ELEVATED_CIRCULATING_FOLLICLE_STIMULATING_HORMONE_LEVEL	HP	28	4.593026	0.5371599	-0.95207053	1.0	0.45947328	1.0	-0.8602048000000001	0.9365803
REGULATION_OF_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	GOBP	31	4.5802474	0.5736838000000001	-0.37630758	1.0	0.5479899	1.0	-1.2855608	0.34782207
POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION_INVOLVED_IN_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_SIGNALING_PATHWAY	GOBP	24	4.5293584000000005	0.5812983	-0.5565729	1.0	-0.6099475999999999	1.0	-1.058626	0.7036869000000001
MICROGLIAL_CELL_ACTIVATION	GOBP	33	4.525313400000001	0.5837244	-1.5519283000000001	0.27846837	-0.91011685	0.8967267	1.42549	1.0
SYNCYTIUM_FORMATION	GOBP	51	4.5381026	0.58530647	-0.5066333	1.0	-0.78012717	0.97898674	-1.8204384999999998	0.029200148
EPHRIN_RECEPTOR_SIGNALING_PATHWAY	GOBP	51	4.567692299999999	0.58820784	-0.7911576	1.0	-0.9611688	0.85100585	-1.4561276	0.16924888
POSITIVE_REGULATION_OF_P38MAPK_CASCADE	GOBP	22	4.529393	0.589116	-1.053082	0.9801418	-0.69845104	1.0	0.9283573	1.0
PERIPHERAL_PULMONARY_ARTERY_STENOSIS	HP	38	4.5204916	0.58996546	-1.0510685	0.98325086	-1.0138413	0.8006083	-1.0908337	0.65003675
MYOBLAST_FUSION	GOBP	36	4.543595	0.5912233	0.3860188	1.0	-0.7192824999999999	0.99806356	-1.9171447	0.017373927
VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_PROLIFERATION	GOBP	49	4.569587	0.59178346	-0.96357554	1.0	-0.62440044	1.0	-1.3191317	0.30542284
SKELETAL_MUSCLE_CONTRACTION	GOBP	36	4.533828	0.59222966	-0.45665252	1.0	-0.50825775	1.0	-1.5486633	0.1107306
T_CELL_HOMEOSTASIS	GOBP	32	4.5598774	0.59263426	-1.1713547	0.7862425000000001	-1.0199444	0.79655486	-0.4784899	1.0
SPLEEN_DEVELOPMENT	GOBP	31	4.5381293	0.59354556	-1.0120457	1.0	-0.8778913	0.92171854	-1.3278127	0.29500064
SUPEROXIDE_ANION_GENERATION	GOBP	38	4.547607	0.5958621000000001	-0.5218451	1.0	-0.6575006	1.0	-1.0997561000000002	0.6366639000000001
HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	GOBP	35	4.556181400000001	0.5967363	-0.86219746	1.0	-0.96435475	0.8472303	1.7421936000000002	1.0
DEATH_IN_ADULTHOOD	HP	43	4.529537	0.59681565	-1.0549892	0.97652704	-1.1674053999999998	0.62567	-1.1630416000000001	0.5369541999999999
MACROPHAGE_DIFFERENTIATION	GOBP	39	4.5605910000000005	0.59940165	-0.74273556	1.0	-0.95490116	0.85711205	-1.3318305000000001	0.29009262
CELL_DIFFERENTIATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	GOBP	20	4.538407299999999	0.60143673	-0.82929534	1.0	1.7986745	0.717621	-1.3684951	0.24414344
INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	GOBP	29	4.569619	0.60218215	-0.8816203000000001	1.0	-0.6037051999999999	1.0	-1.6509607	0.073961325
MEGALOCORNEA	HP	51	4.55132	0.6022241	-0.7237545999999999	1.0	1.5174521	0.88574314	-0.96609783	0.8256709000000001
ABNORMALITY_OF_COMPLEMENT_SYSTEM	HP	28	4.5483627	0.6025564999999999	-0.52804476	1.0	0.8592870000000001	1.0	-0.5994335	1.0
NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION	GOBP	42	4.561506700000001	0.60570025	-1.0768303999999997	0.93057805	-1.2264728999999999	0.5603349	-1.1028402	0.6324723000000001
BRUSH_BORDER_MEMBRANE	GOCC	48	1.0770872	0.6097461999999999	-0.67681295	1.0	-0.97765213	0.8364159999999999	-1.3980607	0.21571439999999997
ACYLGLYCEROL_HOMEOSTASIS	GOBP	28	1.1253831	0.61005896	-1.0522598	0.9818197	-0.6454359000000001	1.0	-0.9628030000000001	0.8303946
SKIN_PLAQUE	HP	30	1.0771556999999998	0.6101137	-0.9306908000000002	1.0	-1.2037493000000001	0.58449095	-1.1171806	0.61013937
REGULATION_OF_LONG_TERM_SYNAPTIC_POTENTIATION	GOBP	39	1.0760323999999999	0.61017644	-0.5615342	1.0	-0.70461375	1.0	-1.1970586	0.47816893
POSITIVE_REGULATION_OF_BIOMINERALIZATION	GOBP	47	1.0663459	0.6103496999999999	-0.7525518	1.0	-0.977985	0.8357549000000001	-1.4427246999999999	0.18055122
REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	GOBP	38	1.0773063999999999	0.61040854	-0.65528446	1.0	-0.836008	0.9498465	-1.6705322	0.065380774
HIGH_MYOPIA	HP	42	1.0667228000000002	0.6104668000000001	-1.0348761999999998	1.0	-0.9856668	0.8283439	-1.1512576	0.5564694
RESPONSE_TO_TUMOR_CELL	GOBP	37	1.1032642	0.6105550999999999	-0.7976979999999999	1.0	0.7626497	1.0	-0.9428569	0.85536987
PROSTANOID_BIOSYNTHETIC_PROCESS	GOBP	23	1.1180961999999999	0.6105844	-1.1624701000000002	0.7935925	1.2335023999999999	1.0	-1.741391	0.046799585
NEGATIVE_REGULATION_OF_AXON_EXTENSION	GOBP	39	1.0744441999999998	0.6105917	-0.7386063	1.0	-0.9689690999999999	0.8442033999999999	-1.8861874	0.020062678
CONICAL_INCISOR	HP	28	1.0711838	0.6106353	-1.2722018	0.6521809000000001	-0.9748974	0.8392164000000001	-1.5018296999999998	0.13803475
RICKETS	HP	37	1.072597	0.6107563	-0.82024825	1.0	-0.97881335	0.8351228999999999	-1.2130333999999998	0.4545298
NEGATIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE	GOBP	23	1.1276362	0.61075914	-0.5996965999999999	1.0	-1.0353497	0.78055924	-1.9308276000000002	0.01586305
VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY	GOBP	41	1.139394	0.6107651	-0.73766196	1.0	0.9577752	1.0	-1.169094	0.52571917
PERICARDITIS	HP	24	1.0784546	0.6108060000000001	-1.16924	0.78835875	0.5687119	1.0	0.4707411	1.0
NEGATIVE_REGULATION_OF_PROTEOLYSIS	GOBP	267	1.0720237	0.6108119000000001	-1.0605993	0.9627885	0.56407106	1.0	-0.9811462	0.8075939999999999
BIFID_TONGUE	HP	22	1.1370263999999999	0.6108831	-1.0174935	1.0	-1.5172005	0.25716469999999997	-1.2120049	0.45613265
DYSLEXIA	HP	24	1.0681753	0.6109023	-1.3662971000000002	0.5272198	-1.21628	0.5723104	-1.1973326000000002	0.47774416
POSITIVE_REGULATION_OF_BONE_MINERALIZATION	GOBP	38	1.0851516	0.6109199000000001	-0.6391142	1.0	-1.1132551000000002	0.68903834	-1.4664309	0.16142747
REDUCED_VITAL_CAPACITY	HP	28	1.1383355	0.61095566	0.955568	1.0	0.47269459999999996	1.0	-1.5165693	0.1275958
DENDRITIC_SHAFT	GOCC	34	1.1259834999999998	0.6109635999999999	-1.1485305000000001	0.8220188	-1.356986	0.40811786	-1.608933	0.088959694
AXONAL_DEGENERATION	HP	20	1.1286156999999999	0.610981	-0.77802444	1.0	-1.1473309999999999	0.6494174	-1.1210982	0.6037427
NEGATIVE_REGULATION_OF_B_CELL_ACTIVATION	GOBP	28	1.0691699	0.6109825	-1.0924966	0.90921587	-1.9821113000000001	0.06887889	-0.8638084	0.9356863999999999
ABNORMAL_SYSTEMIC_ARTERIAL_MORPHOLOGY	HP	456	1.1161555	0.6110300000000001	-1.1108216	0.878792	-1.3714313999999999	0.3877231	-1.4535195	0.17111935
URINARY_RETENTION	HP	27	1.0786601	0.61108017	-1.4824116000000003	0.36432424	-1.5315789	0.24553475	-1.4265321000000002	0.1943422
NEGATIVE_CHEMOTAXIS	GOBP	40	1.0669761	0.6110880999999999	0.55363536	1.0	-1.1271826	0.67124164	-1.7818778000000002	0.03696125
PHOSPHOLIPID_CATABOLIC_PROCESS	GOBP	44	1.1037015	0.6111055999999999	-1.0606681	0.9630812	-0.7492378000000001	0.9875219999999999	-1.3170315000000001	0.3081073
SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	GOBP	22	1.0674271999999998	0.6111135	-0.5845626	1.0	-1.0218595	0.79489845	-1.48796	0.147316
MAIN_AXON	GOCC	55	1.0694976999999999	0.6111201	-0.9685608	1.0	-0.9172899999999999	0.8908656999999999	-1.5124036	0.1302877
POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION	GOBP	52	1.1277574	0.611122	-0.62918293	1.0	-1.444243	0.31569040000000004	-1.3696798000000001	0.243366
ASPIRATION	HP	23	1.0869927	0.61117804	-1.2359716	0.7030688	-1.6745648000000002	0.18423685	-1.388301	0.22406992
REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	GOBP	52	1.0993297	0.61126477	-0.6881221	1.0	1.5461985	0.8678589	0.678554	1.0
HIPPOCAMPAL_MOSSY_FIBER_TO_CA3_SYNAPSE	GOCC	33	1.1261555	0.611296	-0.48323706	1.0	-1.0442665	0.76865584	-1.5363619	0.11640393
HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION	GOBP	30	1.0681888000000002	0.6113025	-0.84380573	1.0	-1.0122011	0.8032269000000001	-1.1492258	0.55890036
PINOCYTOSIS	GOBP	22	1.1349661	0.61132085	-1.1422032	0.82764024	-1.5790587999999999	0.22133672	-1.1386171999999999	0.57843655
MICROFILAMENT_MOTOR_ACTIVITY	GOMF	29	1.1308281	0.61133385	1.3883653	1.0	-0.7890513000000001	0.9752781999999999	1.6266657	1.0
COA_HYDROLASE_ACTIVITY	GOMF	22	1.0827326000000002	0.6113499	-0.9465773999999999	1.0	1.0300752	1.0	-0.6356868	1.0
REGULATION_OF_NEUTROPHIL_CHEMOTAXIS	GOBP	29	1.0997715000000001	0.61138654	-1.0073639	1.0	-0.99035233	0.8252635	-1.1820513000000001	0.5031763
PROTEIN_KINASE_A_SIGNALING	GOBP	30	1.1038854999999999	0.6113964	-0.8704264000000002	1.0	1.5627729	0.8579709999999999	-1.5272326	0.12201159
SOLUTE_PROTON_SYMPORTER_ACTIVITY	GOMF	25	1.0787649	0.6114206999999999	-0.69794875	1.0	0.79264426	1.0	0.7193946	1.0
POLYSPLENIA	HP	51	1.1049818999999999	0.6114463000000001	-0.73622245	1.0	-1.0078616	0.8069073	-0.8543225	0.9394781999999999
ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GOBP	63	1.0901812	0.61146307	-0.67748785	1.0	2.1333162999999997	0.58457166	1.3836764	1.0
SLOW_DECREASE_IN_VISUAL_ACUITY	HP	21	1.1411103	0.6114845999999999	-0.6518037	1.0	-0.9875598	0.82690144	-1.3913347	0.22107871
POSTAXIAL_FOOT_POLYDACTYLY	HP	51	1.1043276000000002	0.6115001	-1.0272543	1.0	-1.5067073	0.26598307	-1.320861	0.30338448
WNT_PROTEIN_BINDING	GOMF	25	1.1318878	0.61150277	-1.1880741000000001	0.7742604000000001	-1.0966253000000001	0.7084215	-1.3238364	0.30011132
ISOPRENOID_BINDING	GOMF	43	1.1403171	0.61153215	-0.5184888	1.0	-0.68035394	1.0	1.56976	1.0
MOTILE_CILIUM_ASSEMBLY	GOBP	48	1.08707	0.61154085	-0.7108766	1.0	-0.90894926	0.8962614	-0.7112728	1.0
SODIUM_CHANNEL_REGULATOR_ACTIVITY	GOMF	38	1.0876712	0.61154807	-0.84409493	1.0	-0.9299504999999999	0.8812655	-1.4547569	0.17032771
GANGRENE	HP	47	1.1352531000000001	0.6115619999999999	-1.1846709999999998	0.77701217	-0.8044198	0.9663370000000001	-1.1420392	0.57267606
REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION	GOBP	30	1.1337807	0.6116121999999999	-0.8480055000000001	1.0	-0.92721194	0.88349223	-1.1244553	0.59961873
REGULATION_OF_CHOLESTEROL_EFFLUX	GOBP	35	1.1310815	0.6116124	-1.1291931	0.84828913	-1.0026704	0.81122744	-1.2513602	0.39270532
CHRONIC_RHINITIS	HP	47	1.1330209	0.61166364	-0.9491205	1.0	-1.1484598999999998	0.64884335	-0.90442586	0.89862895
RENAL_FILTRATION	GOBP	22	1.0963688999999999	0.6116852	-1.13011	0.8487712	0.67538697	1.0	-1.2879785	0.34541836
REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION	GOBP	57	1.1322721000000002	0.61170447	-0.7749666999999999	1.0	-0.6813043000000001	1.0	-1.3761169	0.2378869
ABNORMALITY_OF_RENAL_EXCRETION	HP	56	1.0803976	0.61183995	-0.9072386	1.0	-0.7173841999999999	0.99844223	-1.1276915	0.5938441
EPISODIC_ATAXIA	HP	24	1.0792583	0.6118876999999999	-0.94599193	1.0	-1.0120280000000001	0.8034854	-1.5933042	0.09468641
ULNAR_DEVIATION_OF_FINGER	HP	28	1.0876964	0.6119553000000001	-0.7935854999999999	1.0	-1.2196352	0.5696758000000001	-1.3544985	0.26030692
DIASTASIS_RECTI	HP	23	1.0813428999999999	0.6119696	-1.4439505	0.39695123	-0.727029	0.9952991	-0.74847895	0.9925886999999999
NEUROTRANSMITTER_RECEPTOR_ACTIVITY	GOMF	86	1.050422	0.612167	-0.5372904000000001	1.0	1.9682218	0.7126174	0.6828095999999999	1.0
POTASSIUM_CHANNEL_COMPLEX	GOCC	73	1.0915511999999998	0.6121671999999999	-0.7518029	1.0	0.6205705	1.0	-1.1402875	0.574963
NEONATAL_HYPOGLYCEMIA	HP	36	1.1088606	0.61220765	-0.8632347	1.0	-1.5524434999999999	0.22973760000000001	-1.3617296	0.2509331
PIGMENT_GRANULE_LOCALIZATION	GOBP	24	1.1699071	0.6122573	-1.1800541000000002	0.7752222	-1.0005283	0.8134049	-0.9533210999999999	0.8414383
NEGATIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION	GOBP	27	1.090786	0.6122781999999999	-1.3972487	0.481846	0.4765747	1.0	-1.1510544	0.5564925000000001
DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING	GOMF	430	1.0878128	0.6122996999999999	-1.1170291	0.86762846	-1.4448246	0.31519777	-0.9982404	0.789227
ABNORMALITY_OF_IMMUNE_SERUM_PROTEIN_PHYSIOLOGY	HP	33	1.106868	0.61230445	-1.1202309	0.86233836	0.627505	1.0	-0.92591745	0.87343365
HISTONE_LYSINE_DEMETHYLATION	GOBP	24	1.1411593999999998	0.6123528	-0.74397135	1.0	-1.3850605	0.37393248	-1.254459	0.3881248
ION_GATED_CHANNEL_ACTIVITY	GOMF	38	1.0497136999999999	0.6123529000000001	1.214554	1.0	1.63313	0.8100550999999999	-1.3461267	0.27144396
REGULATION_OF_RENAL_SYSTEM_PROCESS	GOBP	24	1.0936	0.6123632	-1.0989316	0.89488095	1.2226642	1.0	-1.3844842	0.22848739999999998
ALKALOSIS	HP	28	1.0506936000000002	0.612371	-1.476149	0.36650053	-0.68748397	1.0	-1.2112238000000002	0.45730886
POSITIVE_REGULATION_OF_OSSIFICATION	GOBP	44	1.0918236000000001	0.6123869000000001	-0.6637893	1.0	-1.3145813	0.45626053	-1.3180258	0.30679953
CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	GOBP	45	1.0946818999999999	0.6124376	0.5811645	1.0	1.5069124	0.87720346	-1.5667102	0.10388022
MEDIATOR_COMPLEX	GOCC	38	1.0515691	0.6124582	-1.1416793	0.8281120999999999	-1.2226863000000001	0.5657972	-0.51050353	1.0
NEGATIVE_REGULATION_OF_AXONOGENESIS	GOBP	59	1.0510386	0.61247575	-0.6652343000000001	1.0	-0.6245866999999999	1.0	-1.6464278	0.075906366
POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	GOBP	26	1.1679548999999998	0.6124776	-1.6312641	0.22071935	0.4735718	1.0	0.68294334	1.0
TOLERANCE_INDUCTION	GOBP	28	1.1459237	0.6124788000000001	-1.4839457	0.3618925	-0.74634874	0.9891165999999999	0.74727184	1.0
NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	GOBP	59	1.0921093000000002	0.6125954	-0.7865938	1.0	0.44819883	1.0	-1.4590671999999998	0.16742437
MAGNESIUM_DEPENDENT_PROTEIN_SERINE_THREONINE_PHOSPHATASE_COMPLEX	GOCC	25	1.1089057	0.6126060000000001	-0.74131197	1.0	-1.2743191999999999	0.49870914	-0.8767264000000001	0.92369545
RECURRENT_MYCOBACTERIAL_INFECTIONS	HP	49	1.1070303999999997	0.61262983	-0.9618658999999999	1.0	-0.86056036	0.9347274999999999	-0.83686733	0.9527081000000001
NASAL_CONGESTION	HP	46	1.1707982	0.6126989	-0.81742376	1.0	-1.194159	0.59529966	-1.1909807	0.4883099
REGULATION_OF_HUMORAL_IMMUNE_RESPONSE	GOBP	32	1.1130049	0.6127623999999999	-0.86773586	1.0	-0.9568636	0.856268	-0.6433002	1.0
DENDRITE_EXTENSION	GOBP	32	1.1468902	0.61276704	-0.6265853	1.0	-0.97081345	0.84228617	-1.6947463	0.057193823
SIGNALING_RECEPTOR_REGULATOR_ACTIVITY	GOMF	357	1.0259105	0.61278397	-0.54204476	1.0	1.2287966000000001	1.0	1.2832748999999999	1.0
POTASSIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	GOBP	43	1.1714388	0.61283207	-0.60595685	1.0	-0.69298553	1.0	-1.2801238000000001	0.35430282
INTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	GOMF	26	1.1474963	0.6128412	-0.5336352	1.0	-0.86281884	0.9346114	-1.9171247	0.016862929
MATERNAL_DIABETES	HP	31	1.054108	0.61287147	-0.7667242	1.0	-0.7816464	0.9781466000000001	-1.6141126000000001	0.08659174
PHOTORECEPTOR_CELL_DEVELOPMENT	GOBP	43	1.1459625	0.6128992	-0.67680264	1.0	0.8058731	1.0	-1.3982267	0.2155473
VENTRICULAR_SYSTEM_DEVELOPMENT	GOBP	26	1.0330414	0.61292136	-1.0411046	0.9940051999999999	-1.1427563	0.6550355	-1.3944228	0.21848729
PHOSPHATIDYLINOSITOL_4_PHOSPHATE_BINDING	GOMF	29	1.1423968	0.612946	-1.1906226999999998	0.77300155	-1.0863878999999999	0.72134733	-1.8007315	0.033636677999999996
