Accession	Cell	TF	ES	pval.adj	condition	control	treatment
ENCSR000BHE.NR3C1.A549	A549	NR3C1	-0.31431	0.252904564315353	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BHF.NR3C1.A549	A549	NR3C1	-0.33714	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BHG.NR3C1.A549	A549	NR3C1	-0.31761999999999996	0.157629310344828	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BHJ.PAX5.GM12878	GM12878	PAX5	-0.33834000000000003	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BHK.SP1.GM12878	GM12878	SP1	-0.34393	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BHM.REST.ESC_H1	ESC H1	REST	-0.33601	0.00616279069767442	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BHO.TAF1.ESC_H1	ESC H1	TAF1	-0.33791	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BHP.FOSL2.HEPG2	HEPG2	FOSL2	-0.3318	0.011568894952251	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BHR.ZBTB33.HEPG2	HEPG2	ZBTB33	-0.33835	0.116180790960452	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BHS.GABPA.HELA_S3	HELA S3	GABPA	-0.34896	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BHT.TAF1.HELA_S3	HELA S3	TAF1	-0.33221	0.0089451476793249	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BHU.RXRA.HEPG2	HEPG2	RXRA	-0.33966999999999997	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BHV.CTCF.A549	A549	CTCF	-0.34279	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BHW.CTCF.A549	A549	CTCF	-0.34545	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BHX.USF1.A549	A549	USF1	-0.35259	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BIB.TAF1.GM12892	GM12892	TAF1	-0.32524000000000003	0.0624263839811543	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BID.BHLHE40.HEPG2	HEPG2	BHLHE40	-0.35518	0.0141522029372497	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BIE.CTCF.HEPG2	HEPG2	CTCF	-0.34107	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BII.POU2F2.GM12891	GM12891	POU2F2	-0.33723000000000003	0.00331768388106416	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BIJ.SPI1.GM12891	GM12891	SPI1	-0.31739	0.13191111111111098	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BIM.TAF1.GM12891	GM12891	TAF1	-0.33187	0.0218838709677419	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BIO.NR3C1.A549	A549	NR3C1	-0.49082	0.011568894952251	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BIP.BCL11A.ESC_H1	ESC H1	BCL11A	0.3412	0.140481927710843	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BIQ.SIX5.ESC_H1	ESC H1	SIX5	-0.37426	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BIR.SP1.ESC_H1	ESC H1	SP1	-0.33916999999999997	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BIS.SIN3A.ESC_H1	ESC H1	SIN3A	-0.3426	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BIT.TCF12.ESC_H1	ESC H1	TCF12	-0.34324	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BIU.USF1.ESC_H1	ESC H1	USF1	-0.3372	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BIV.SRF.ESC_H1	ESC H1	SRF	-0.33374000000000004	0.0544563918757467	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BIW.GABPA.ESC_H1	ESC H1	GABPA	-0.34775	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BIY.ESR1.ISHIKAWA	ISHIKAWA	ESR1	-0.3323	0.011568894952251	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BIZ.ESR1.ISHIKAWA	ISHIKAWA	ESR1	-0.3504	0.0180839895013123	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJA.EGR1.ESC_H1	ESC H1	EGR1	-0.35758	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJB.USF1.A549	A549	USF1	-0.35216	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJC.NR3C1.ISHIKAWA	ISHIKAWA	NR3C1	-0.33241	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJD.RXRA.GM12878	GM12878	RXRA	-0.34603	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJE.SIX5.GM12878	GM12878	SIX5	-0.34044	0.00331768388106416	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJG.TCF12.HEPG2	HEPG2	TCF12	-0.33073	0.0375794621026895	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJH.PAX5.GM12891	GM12891	PAX5	-0.34309	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJI.PAX5.GM12892	GM12892	PAX5	-0.34902	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJJ.REST.SKNSH	SKNSH	REST	-0.33846	0.0497472924187726	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJK.GABPA.HEPG2	HEPG2	GABPA	-0.35725999999999997	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJL.REST.HEPG2	HEPG2	REST	-0.36271	0.0168031704095112	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJN.TAF1.HEPG2	HEPG2	TAF1	-0.33958	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJO.REST.PANC1	PANC1	REST	-0.34994000000000003	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJP.REST.PFSK1	PFSK1	REST	-0.37224	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJR.NR3C1.A549	A549	NR3C1	-0.33751	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJS.ESR1.T47D	T47D	ESR1	-0.33433	0.00754985754985755	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJT.NR3C1.A549	A549	NR3C1	-0.34818000000000005	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJW.RXRA.ESC_H1	ESC H1	RXRA	-0.3661	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJX.SP1.HEPG2	HEPG2	SP1	-0.32997	0.0180839895013123	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJY.ATF3.GM12878	GM12878	ATF3	-0.34651	0.0089451476793249	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BJZ.BCLAF1.GM12878	GM12878	BCLAF1	-0.33566999999999997	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BKA.ETS1.GM12878	GM12878	ETS1	-0.3438	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BKB.MEF2A.GM12878	GM12878	MEF2A	-0.32176	0.12463605823068302	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BKC.ATF3.ESC_H1	ESC H1	ATF3	-0.3623	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BKD.YY1.ESC_H1	ESC H1	YY1	-0.33505	0.00178151260504202	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BKE.ATF3.HEPG2	HEPG2	ATF3	-0.37464000000000003	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BKF.ZBTB33.K562	K562	ZBTB33	-0.3866	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BKH.BCLAF1.K562	K562	BCLAF1	-0.34583	0.011568894952251	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BKJ.YY1.GM12891	GM12891	YY1	-0.33865	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BKK.EP300.ESC_H1	ESC H1	EP300	-0.33531	0.00754985754985755	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BKL.ESR1.ISHIKAWA	ISHIKAWA	ESR1	-0.32955	0.0230729833546735	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BKM.GATA2.K562	K562	GATA2	-0.316	0.261444788441692	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BKN.ESR1.T47D	T47D	ESR1	-0.32703000000000004	0.0487061668681983	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BKO.SP1.K562	K562	SP1	-0.39611	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BKP.JUND.ESC_H1	ESC H1	JUND	-0.34565999999999997	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BKQ.ETS1.K562	K562	ETS1	-0.3502	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BKS.TAF1.K562	K562	TAF1	-0.33960999999999997	0.00331768388106416	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BKT.USF1.K562	K562	USF1	-0.34424	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
ENCSR000BKU.YY1.K562	K562	YY1	-0.34252	0.0	drug_conc_40_vs_0.enrichment	4hr_DMSO	4hr_40nmSY5609
